Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,01/03/2015,Addition Clearing - IT,DG: ERD,IBM UK LTD,CBI0001911,"1,101,643.43",ESR Transition - T1.1  Including Retention,PO6 3AU,LARGE,,,Programme
Department of Health,Department of Health,01/03/2015,Addition Clearing - IT,DG: ERD,IBM UK LTD,CBI0001911,"-1,101,643.43",ESR Transition - GMPTC,PO6 3AU,LARGE,,,Programme
Department of Health,Department of Health,04/03/2015,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR HEALTH LTD,ERS-535071-101581,"266,000.00",2013/002 - Skills for Health Ltd - project: Workforce development project- policy grant ,,PUBLIC,,,Programme
Department of Health,Department of Health,05/03/2015,Conferences & seminars,DG: ERD,HM TREASURY HMT,32255,"1,504.80",GESR Annual Conference,NR2 1DY,PUBLIC,,,Admin
Department of Health,Department of Health,05/03/2015,Outsourcing Contract,DG: ERD,HM TREASURY HMT,32255,-931.60,,NR2 1DY,PUBLIC,,,Admin
Department of Health,Department of Health,05/03/2015,Outsourcing Contract,DG: ERD,HM TREASURY HMT,32255,"21,120.00",GSR Central fast Stream Recruitment Cost 2015,NR2 1DY,PUBLIC,,,Admin
Department of Health,Department of Health,05/03/2015,Outsourcing Contract,DG: ERD,HM TREASURY HMT,32255,"14,160.00",GES Central fast Stream Recruitment Cost 2015,NR2 1DY,PUBLIC,,,Admin
Department of Health,Department of Health,05/03/2015,Professional fees,DG: ERD,HM TREASURY HMT,32255,"4,084.80",GES Annual Subscription charge (Non Vat able amount),NR2 1DY,PUBLIC,,,Admin
Department of Health,Department of Health,05/03/2015,Professional fees,DG: ERD,HM TREASURY HMT,32255,"18,607.20",GES Annual Subscription charge (Vat able amount),NR2 1DY,PUBLIC,,,Admin
Department of Health,Department of Health,06/03/2015,Addition Clearing - IT,DG: ERD,IBM UK LTD,5802152323,0.00,ESR Transition - GMPTC,PO6 3AU,LARGE,,,Programme
Department of Health,Department of Health,06/03/2015,Addition Clearing - IT,DG: ERD,IBM UK LTD,5802152323,0.00,ESR Transition - T1.1  Including Retention,PO6 3AU,LARGE,,,Programme
Department of Health,Department of Health,06/03/2015,Addition Clearing - IT,DG: ERD,IBM UK LTD,5802152323,"751,555.65",ESR Transition - T1.2 Including Retention,PO6 3AU,LARGE,,,Programme
Department of Health,Department of Health,09/03/2015,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011675,"2,296,235.00",CPA for ESR - FY14/15 Service Charges inc Profit Share,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,09/03/2015,Addition Clearing - IT,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011676,"23,626.39",CPA for ESR Contract - FY14/15 Capital drawdown & Pipeline development,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,09/03/2015,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011676,"5,986.05",CPA for ESR Contract - FY14/15 Capital drawdown & Pipeline development,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,09/03/2015,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011727,"123,086.28",CPA for ESR - FY14/15 Service Charges inc Profit Share,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,09/03/2015,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011728,"64,868.49",CPA for ESR Contract - CCN 126 NHS Payslip Printing & Delivery Charges FY14/15,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,09/03/2015,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011757,"2,296,235.00",CPA for ESR - FY14/15 Service Charges inc Profit Share,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,12/03/2015,Outsourcing Contract,DG: ERD,IPSOS MORI UK LTD,15000406,"152,582.00",Migrant Access Programme's Formative Evaluation,HA1 1PT,LARGE,,,Programme
Department of Health,Department of Health,13/03/2015,Revenue Grants to Other Bodies,DG: ERD,NURSING AND MIDWIFERY COUNCIL,ERS-535565-101881,"1,945,339.00",2014-15 2013/036b Nursing and Midwifery Council Competency Testing outside EEA,W1B 1JT,PUBLIC,,,Programme
Department of Health,Department of Health,13/03/2015,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR CARE LTD,ERS-535732-102047,"2,000,000.00",2014/022a Social Care Work Programme for DH,LS1 2RP,VCS,,,Programme
Department of Health,Department of Health,13/03/2015,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR CARE LTD,ERS-535733-102048,"47,000.00",2014/048a To cover shortfall in the NSA-SC¿s work programme funding following merger with Skills for Care,NW1 2FD,VCS,,,Programme
Department of Health,Department of Health,13/03/2015,Capital Grants to non-profit institutions,DG: ERD,SKILLS FOR CARE LTD,ERS-535734-102049,"100,000.00",2014/15 2014/032 Skills for Care  - Capital Grant Projects (2nd PO),LS1 2RP,VCS,,,Programme
Department of Health,Department of Health,16/03/2015,ENDPBs Admin Revenue Grant in Aid,DG: ERD,PROFESSIONAL STANDARDS AUTHORITY,DH068,"72,000.00",PSA AVR Allocation Drawdown 2014/15,SW1W 9SP,PUBLIC,,,Admin
Department of Health,Department of Health,16/03/2015,ENDPBs Admin Revenue Grant in Aid,DG: ERD,PROFESSIONAL STANDARDS AUTHORITY,DH069,"650,000.00",PSA Grant-In-Aid Revenue Cash Drawdown 2014/15,SW1W 9SP,PUBLIC,,,Admin
Department of Health,Department of Health,17/03/2015,Provisions cash payment,DG: ERD,NHS INJURY BENEFITS SCHEME,ERS-535915-102101,"4,220,634.49","Injury Allowance Recharging, Feb 15 Payment",FY7 8LG,PUBLIC,,,Programme
Department of Health,Department of Health,17/03/2015,Provisions cash payment,DG: ERD,NHS INJURY BENEFITS SCHEME,ERS-535918-102121,"4,226,000.00","Injury Allowance Recharging, Mar 15 Payment",FY7 8LG,PUBLIC,,,Programme
Department of Health,Department of Health,17/03/2015,Capital Grants to Other Bodies,DG: ERD,NURSING AND MIDWIFERY COUNCIL,ERS-535965-102161,"503,521.00",2014-15 2013/036b Nursing and Midwifery Council - Competency Testing outside EEA,W1B 1JT,PUBLIC,,,Programme
Department of Health,Department of Health,17/03/2015,Professional fees,DG: ERD,GOVERNMENT ACTUARYS DEPARTMENT GAD,SINV/00022314,"46,675.06",GAD Payments,EC4A 1AB,LARGE,,,Admin
Department of Health,Department of Health,18/03/2015,Policy Payments,DG: ERD,DEPARTMENT FOR BUSINESS INNOVATION AND SKILLS (BIS),615110003524,"44,240,000.00",Transfer to BIS for Non medical impairment and Medical & Dental impairment and tuition costs,NP10 8QQ,PUBLIC,,,Programme
Department of Health,Department of Health,20/03/2015,Other programme expenditure,DG: ERD,PGO FOREIGN CURRENCY PAYMENTS,1042550780SE885VV,"57,968.00",,RH10 1UH,PUBLIC,,,Programme
Department of Health,Department of Health,20/03/2015,Publicity & advertising,DG: ERD,PROMOTIONAL LOGISTICS LTD,SIN15005129,"21,332.50",DH Editorial Support - 1x Editor,CO10 1RE,LARGE,,,Admin
Department of Health,Department of Health,23/03/2015,Consultancy/Professional Advice,DG: ERD,THE MENTAL HEALTH FOUNDATION,OP/I036981,"28,435.00",Review of the Commissioning NHS Independent Complaints Advocacy Services,SE1 2SX,VCS,,,Programme
Department of Health,Department of Health,24/03/2015,Publicity & advertising,DG: ERD,IPSOS MORI UK LTD,15000531,"33,600.00",Delivery of the Public Perceptions of the NHS tracker Winter 2014,HA1 1PT,LARGE,,,Programme
Department of Health,Department of Health,25/03/2015,Outsourcing Contract,DG: ERD,NHS EMPLOYERS LTD,14163,"33,750.00",NHS Confed European Office,LS10 1JR,SME,,,Programme
Department of Health,Department of Health,25/03/2015,Publicity & advertising,DG: ERD,GFK NOP LTD,8272014568,"89,400.00",NHS staff survey,SE1 9UL,LARGE,,,Programme
Department of Health,Department of Health,25/03/2015,Publicity & advertising,DG: ERD,GFK NOP LTD,8272014568,"8,940.00","NHS survey - This is to accommodate a higher sample size to improve quality, and brings the original requisition amount up to the intended budget for this piece of work (£81,950).",SE1 9UL,LARGE,,,Programme
Department of Health,Department of Health,25/03/2015,Outsourcing Contract,DG: ERD,METHODS CONSULTING,SIN014037,"156,230.34",NHS Jobs 1/2/12- 31/1/17,EC1A 4EN,SME,,,Programme
Department of Health,Department of Health,26/03/2015,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90186374,"42,927.84",WO/2013/10 BP4 Forecasting the future social care workforce (incorporating social work) ,GU21 6QX,LARGE,,,Programme
Department of Health,Department of Health,26/03/2015,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR HEALTH LTD,ERS-536679-102601,"49,000.00",2013/002 - Skills for Health Ltd - project: Workforce development project- policy grant ,,PUBLIC,,,Programme
Department of Health,Department of Health,26/03/2015,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR HEALTH LTD,ERS-536682-102621,"300,000.00",2013/002 Skills for Health - Workforce development project,,PUBLIC,,,Programme
Department of Health,Department of Health,30/03/2015,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90187223,"10,400.40",expenses,GU21 6QX,LARGE,,,Programme
Department of Health,Department of Health,30/03/2015,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90187223,"23,742.00",other overheads and profits,GU21 6QX,LARGE,,,Programme
Department of Health,Department of Health,30/03/2015,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90187223,"17,072.40",premises,GU21 6QX,LARGE,,,Programme
Department of Health,Department of Health,30/03/2015,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90187223,"291,771.60",non transferring staff,GU21 6QX,LARGE,,,Programme
