Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Jobcentre Plus,30/06/2011,ACCOMMODATION,JOBCENTRE PLUS,TELEREAL TRILLIUM,2021576349,"£29,501,800"
Department for Work and Pensions,Corporate,14/06/2011,FND,CORPORATE IT,BT GLOBAL SERVICES,2021299428,"£10,547,664"
Department for Work and Pensions,Employment Programmes,07/06/2011,REMPLOY,WWEG EMPLOYMENT PROGRAMMES,REMPLOY,1004823,"£8,000,000"
Department for Work and Pensions,Corporate,10/06/2011,FND,CORPORATE IT,HP ENTERPRISE SERVICES UK LTD,2021289082,"£7,462,276"
Department for Work and Pensions,Corporate,10/06/2011,FND,CORPORATE IT,HP ENTERPRISE SERVICES UK LTD,2021289082,"£7,445,427"
Department for Work and Pensions,Corporate,14/06/2011,FND,CORPORATE IT,HP ENTERPRISE SERVICES UK LTD,2021302214,"£6,435,443"
Department for Work and Pensions,European Social Fund,22/06/2011,FND,WWEG EUROPEAN SOCIAL FUND,NATIONAL OFFENDER MANAGEMENT SERVICES,5000000609,"£4,924,175"
Department for Work and Pensions,Jobcentre Plus,30/06/2011,ACCOMMODATION,JOBCENTRE PLUS,TELEREAL TRILLIUM,2021576350,"£4,660,310"
Department for Work and Pensions,Corporate,30/06/2011,TRADE DEBTORS,BALANCE SHEET PAYMENTS,TELEREAL TRILLIUM,2021576349,"£4,535,190"
Department for Work and Pensions,European Social Fund,30/06/2011,FND,WWEG EUROPEAN SOCIAL FUND,SOUTH WEST DWP,5000000619,"£4,183,105"
Department for Work and Pensions,Corporate,30/06/2011,ACCOMMODATION,GROUP FINANCE,TELEREAL TRILLIUM,2021576349,"£4,153,489"
Department for Work and Pensions,Jobcentre Plus,23/06/2011,MEDICAL SERVICES,JOBCENTRE PLUS,ATOS HEALTHCARE,2021477047,"£4,022,333"
Department for Work and Pensions,Corporate,14/06/2011,FND,CORPORATE IT,BT GLOBAL SERVICES,2021299428,"£3,530,321"
Department for Work and Pensions,Corporate,14/06/2011,FND,CORPORATE IT,HP ENTERPRISE SERVICES UK LTD,2021302214,"£3,399,231"
Department for Work and Pensions,European Social Fund,27/06/2011,FND,WWEG EUROPEAN SOCIAL FUND,SOUTH EAST DWP,5000000614,"£3,128,438"
Department for Work and Pensions,Corporate,10/06/2011,FND,CORPORATE IT,HP ENTERPRISE SERVICES UK LTD,2021289082,"£2,542,535"
