"Department of Health, August 2013, spend over £25,000",,,,,,,,,,,,,
Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code ,Expenditure Type
Department of Health,Department of Health,01/08/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE,HAFS-15955,15000000,,WF3 1WE,PUBLIC,,,Other
Department of Health,Department of Health,01/08/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH EDUCATION ENGLAND,HAFS-15956,295700000,,LS1 4PL,PUBLIC,,,Other
Department of Health,Department of Health,01/08/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH RESEARCH AUTHORITY,HAFS-15957,860000,,SE1 6LH,PUBLIC,,,Other
Department of Health,Department of Health,01/08/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS,HAFS-15958,6050000,,,PUBLIC,,,Other
Department of Health,Department of Health,01/08/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-15959,4500000,,SE1 7NT,PUBLIC,,,Other
Department of Health,Department of Health,01/08/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-15960,13200000,,NE1 6SN,PUBLIC,,,Other
Department of Health,Department of Health,01/08/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND,HAFS-15961,4226006000,,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,01/08/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-15962,3000000,,SW1E 6QT,PUBLIC,,,Other
Department of Health,Department of Health,01/08/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,PUBLIC HEALTH ENGLAND,HAFS-15963,54000000,,SP4 0JG,PUBLIC,,,Other
Department of Health,Department of Health,01/08/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND,HAFS-15964,3905890000,,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,01/08/2013,Outsourcing Contract,DG: PHD,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),5582019,63736.23,NICE International Global Health project service.,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,01/08/2013,Addition Clearing - OLB,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00290198RI,32419.34,Skipton House - Central Waste Scheme - Ref 24706,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,01/08/2013,Addition Clearing - OLB,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00290207RI,77245.38,Replace defective Altro flooring in the main kitchen at Skipton House.,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,01/08/2013,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,3647001-06-AUG-13,43186.22,,TS17 6YG,SME,,,Other
Department of Health,Department of Health,01/08/2013,Service charge,DG: Informatics,CSC COMPUTER SCIENCES LTD,5201334749,2036958.65,Revenue: FY 2013/14 Service Charge Revenue Requirements (committed costs only),PR1 8UQ,LARGE,,,Programme
Department of Health,Department of Health,01/08/2013,Addition Clearing - SW LIC,DG: Informatics,CSC COMPUTER SCIENCES LTD,5201334750,271724.27,Capital: FY 2013/14 Deployment Capital Cash Requirements (committed costs only),PR1 8UQ,LARGE,,,Programme
Department of Health,Department of Health,01/08/2013,Addition Clearing - SW LIC,DG: Informatics,CSC COMPUTER SCIENCES LTD,5201334751,1531356.91,Capital: FY 2013/14 Deployment Capital Cash Requirements (committed costs only),PR1 8UQ,LARGE,,,Programme
Department of Health,Department of Health,01/08/2013,Service charge,DG: Informatics,CSC COMPUTER SCIENCES LTD,5201334752,407942.53,Revenue: FY 2013/14 Service Charge Revenue Requirements (committed costs only),PR1 8UQ,LARGE,,,Programme
Department of Health,Department of Health,01/08/2013,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90138480,235315.81,OC/2013/01 - Non Transferring staff,SW1H 9NP,LARGE,,,Programme
Department of Health,Department of Health,01/08/2013,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90138488,25630.73,OC/2013/07 - Other overheads and profit,SW1H 9NP,LARGE,,,Programme
Department of Health,Department of Health,01/08/2013,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90138491,41360,OC/2013/09- Business Support,SW1H 9NP,LARGE,,,Programme
Department of Health,Department of Health,01/08/2013,Service charge,DG: Informatics,CAPITA BUSINESS SERVICES LTD,93094613,490032,ICSP Alpha,DL1 9HN,LARGE,,,Programme
Department of Health,Department of Health,01/08/2013,Printing,DG: ERD,PROMOTIONAL LOGISTICS LTD,IN319666,9798.66,Estimated monthly call off charges for storage and distribution for June  2013  to be recovered through journal transfers to owning policy teams - Additional costs,CO10 1RE,SME,,,Admin
Department of Health,Department of Health,01/08/2013,Printing,DG: ERD,PROMOTIONAL LOGISTICS LTD,IN319666,1000,Estimated monthly call off charges for storage and distribution for June  2013  to be recovered through journal transfers to owning policy teams,CO10 1RE,SME,,,Admin
Department of Health,Department of Health,01/08/2013,Printing,DG: ERD,PROMOTIONAL LOGISTICS LTD,IN319666,98091.27,Estimated monthly call off charges for storage and distribution for June  2013  to be recovered through journal transfers to owning policy teams,CO10 1RE,SME,,,Admin
Department of Health,Department of Health,01/08/2013,Storage costs,DG: SFNHS,TEVA UK LTD,2310305791,271223.91,,,LARGE,,,
Department of Health,Department of Health,01/08/2013,Storage costs,DG: SFNHS,TEVA UK LTD,2310305791,0.09,,,LARGE,,,
Department of Health,Department of Health,01/08/2013,Legal Fees General,DG: ERD,RADCLIFFESLEBRASSEUR,50004118,30000,ET CASE NO 2501928/2012,SW1P 3SJ,,,,
Department of Health,Department of Health,01/08/2013,Secondees in invoiced costs,DG: Central Technical,KINGS COLLEGE LONDON,SINV1036010,32059.64,"Secondment , NCD for Cancer & EOLC, to Dept of Health",SE1 8WA,PUBLIC,,,Admin
Department of Health,Department of Health,01/08/2013,Secondees in invoiced costs,DG: Central Technical,KINGS COLLEGE LONDON,SINV1036010,7725.02,Salary costs secondment to Dept of Health - 1 Sept 2011 to 31 Aug 2012,SE1 8WA,PUBLIC,,,Admin
