Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description, Total 
Ministry of Defence,Ministry of Defence,09/01/2014,IT and communication services,Head Office & Corporate Services,OFFICE OF COMMUNICATIONS (OFCOM),SE1 9HA,292488,Line + telephone rental including commercial charge for use of radio frequencies,"38,719,600.00"
Ministry of Defence,Ministry of Defence,08/01/2014,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,291618,Property dwellings private finance initiative - service concession arrangement service charge,"23,728,483.25"
Ministry of Defence,Ministry of Defence,24/01/2014,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,SHELL EASTERN TRADING (PTE) LIMITED,,2000021158,Raw materials and consumable oil and lubricants inventory purchased,"16,770,519.26"
Ministry of Defence,Ministry of Defence,29/01/2014,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,299592,Estate core services charge,"10,817,436.95"
Ministry of Defence,Ministry of Defence,28/01/2014,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,299103,Estate core services charge,"8,411,631.02"
Ministry of Defence,Ministry of Defence,23/01/2014,Property leases,Defence Infrastructure Organisation ,MODUS SERVICES LIMITED,SW1A 2HB,297754,Property non dwellings private finance initiative - service concession arrangement service charge,"6,955,346.21"
Ministry of Defence,Ministry of Defence,14/01/2014,Payment of utilities,Defence Infrastructure Organisation ,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,293958,Utilities consumed - electricity,"6,923,654.38"
Ministry of Defence,Ministry of Defence,15/01/2014,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11252,Monthly GPC Payment,"6,477,937.12"
Ministry of Defence,Ministry of Defence,28/01/2014,Rental of plant and machinery,Defence Equipment & Support,ALC (SPC) LIMITED,OX25 2LD,298802,Plant + machinery private finance initiative - service concession arrangements service charge,"6,434,884.69"
Ministry of Defence,Ministry of Defence,16/01/2014,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11254,Monthly GPC Payment,"6,170,829.96"
Ministry of Defence,Ministry of Defence,06/01/2014,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,291099,Fees for professional services excluding legal fees,"6,053,559.94"
Ministry of Defence,Ministry of Defence,21/01/2014,Property leases,Defence Infrastructure Organisation ,RMPA SERVICES PLC,CO2 7ST,296905,Property dwellings private finance initiative - service concession arrangement service charge,"5,900,887.93"
Ministry of Defence,Ministry of Defence,22/01/2014,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,297117,Grant in aid to the council of reserve forces and cadet associations,"5,854,175.00"
