Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/08/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,33467,144.00,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/08/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,33654,214.00,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/08/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,37249,2996.28,F&C Devolved Admin-Other IT Consultancy,SL6 1DP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/08/2014,Taxi Services,Government Office for Science -  Government Office for Science,DEAN TAXIS LTD T/A GROSVENOR CARS,37754,-8.80,Other Devolved Admin-Taxi Services,NE6 5DE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/08/2014,Taxi Services,Government Office for Science -  Government Office for Science,DEAN TAXIS LTD T/A GROSVENOR CARS,37754,20.94,Other Devolved Admin-Taxi Services,NE6 5DE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/08/2014,Taxi Services,Government Office for Science -  Government Office for Science,DEAN TAXIS LTD T/A GROSVENOR CARS,37787,33.12,Other Devolved Admin-Taxi Services,NE6 5DE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/08/2014,Taxi Services,Government Office for Science -  Government Office for Science,DEAN TAXIS LTD T/A GROSVENOR CARS,37792,31.19,Other Devolved Admin-Taxi Services,NE6 5DE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/08/2014,Taxi Services,Government Office for Science -  Government Office for Science,DEAN TAXIS LTD T/A GROSVENOR CARS,37796,29.53,Other Devolved Admin-Taxi Services,NE6 5DE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/08/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,39011,21714.00,F&C Devolved Admin-Other IT Consultancy,EC2A 3DR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,39195,5393.30,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Learning and Dev - CS Skills,Finance & Commercial Group - Information and Technology Directorate,CAPITA BUSINESS SERVICES LTD,40514,32013.30,F&C Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Learning and Dev - CS Skills,Finance & Commercial Group - Information and Technology Directorate,CAPITA BUSINESS SERVICES LTD,40514,32013.30,F&C Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/08/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,ADECCO UK LTD,40632,-617.02,F&C Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,ADDISON LEE plc,40637,15.69,MPST Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,ADDISON LEE plc,40637,19.76,MPST Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,ADDISON LEE plc,40637,49.79,MPST Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,ADDISON LEE plc,40637,79.61,MPST Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,ADDISON LEE plc,40637,82.69,MPST Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,ADDISON LEE plc,40637,168.15,MPST Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,ADDISON LEE plc,40637,187.04,MPST Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,ADDISON LEE plc,40637,188.92,MPST Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,ADDISON LEE plc,40637,208.55,MPST Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,ADDISON LEE plc,40637,479.03,MPST Devolved Admin-Leasing of Motor Vehicles,NW1 3ER,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/08/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,42253,5035.80,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,42757,6468.00,F&C Devolved Admin-Other IT Consultancy,EC2A 3DR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,44546,3456.29,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,PARITY RESOURCES LTD,46387,5527.44,F&C Devolved Admin-Hire of Agency Staff,EC2A 3DR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,46387,7072.56,F&C Devolved Admin-Other IT Consultancy,EC2A 3DR,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,46598,38253.62,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,47446,2608.22,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/08/2014,Clearing Account - Cost - Leasehold Improvements,Finance & Commercial Group - Estates,EC HARRIS LLP,47528,2292.33,BIS Infrastructure Maintenanc-Clearing Account - Cost - Leasehold Improvements,M60 3NT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/08/2014,Clearing Account - Cost - Leasehold Improvements,Finance & Commercial Group - Estates,EC HARRIS LLP,47528,7646.00,BIS Infrastructure Maintenanc-Clearing Account - Cost - Leasehold Improvements,M60 3NT,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/08/2014,Other IT Consultancy,Finance & Commercial Group - Modernisation Fund and Shared Services,VISIONIST LTD,48371,22101.00,F&C Devolved Admin-Other IT Consultancy,BH31 7PB,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,48638,7406.40,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/08/2014,Conference and Exhibition Services,Business & Local Growth - Advanced Manufacturing Services,WISCONSIN CENTER FOR MANUFACTURING & PRODUCTIVITY INC T/A WISCONSIN MANUFACTURING EXTENSION PARTNERS,48919,159.41,E&S Devolved Admin-Conference and Exhibition Services,53718-7923,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Hire of Agency Staff,Finance & Commercial Group - Finance Group,CAPITA BUSINESS SERVICES LTD,49064,-8289.80,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Hire of Agency Staff,Finance & Commercial Group - Finance Group,CAPITA BUSINESS SERVICES LTD,49064,1520.99,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2014,Hire of Agency Staff,Finance & Commercial Group - Finance Group,CAPITA BUSINESS SERVICES LTD,49064,11438.49,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/08/2014,Hire of Agency Staff,Enterprise & Skills Group - Enterprise Directorate,BROOK STREET (UK) LTD,50040,468.68,E&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,50062,2923.73,F&C Devolved Admin-Central Telecommunications Services,MK3 5JP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,50063,853.94,F&C Devolved Admin-Central Telecommunications Services,MK3 5JP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,50064,1820.88,F&C Devolved Admin-Central Telecommunications Services,MK3 5JP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,50065,12.36,F&C Devolved Admin-Central Telecommunications Services,MK3 5JP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2014,ADP Training,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50376,47.60,P&S Non Devolved Admin-ADP Training,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/08/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50376,92.40,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50436,140.00,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
