Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,14-Feb-13,212001-Agency staff,PZ501-MoJ ICT Feeder,CAPITA RESOURCING LTD,1093776,"30,397.23",12739 CIPHERL00474 -Business Support Manager- SM006 (RC Workforce Planning Manager) - for a maximum of 208 days from 04/06/2012 to 30/03/2013 subject to the terms and conditions of contract reference RPUSW 0827-,SL6 1DP,0,Programme
Ministry of Justice,MoJ HQ,28-Feb-13,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1095048,"27,482.58",01764MOJMF-remedial dilapidations overhaul and additional works to 55 DDA doors with openers in 102 Petty France (Marsha Harrison/Mark Harrison).,CIS-CM12 0BT,0,Admin
Ministry of Justice,MoJ HQ,07-Feb-13,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1093208,"242,782.56","PPM monthly costs, June 2012-March 2013, across the MoJ HQ Estate. MTC monthly costs, June 2012-March 2013, across the MoJ HQ Estate.",CIS-CM12 0BT,0,Admin
Ministry of Justice,MoJ HQ,15-Feb-13,222002-Other Property Costs,LZ510-Combined CFO/OSPT Operations,HMRC,2681,"372,801.33",Accommodation charges - 22 Kingsway,BN12 4XH,0,Programme
Ministry of Justice,MoJ HQ,13-Feb-13,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,2670,"28,825.70",Ashley House FM costs for 2012-13 - VAT EXEMPT.,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,13-Feb-13,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,2669,"60,673.75",Grenadier House utilities costs for 2012-13 - VAT EXEMPT.,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,04-Feb-13,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1092914,"90,579.90","Annual cost of cleaning services across the MoJ HQ Estate, 2012-13",DY1 4TA,0,Admin
Ministry of Justice,MoJ HQ,25-Feb-13,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1094718,"90,579.90","Annual cost of cleaning services across the MoJ HQ Estate, 2012-13",DY1 4TA,0,Admin
Ministry of Justice,MoJ HQ,21-Feb-13,222003-CIS Labour TFM Estates,QY200-OU10 Billback,MITIE JUSTICE LTD,1094486,"135,065.54",TFM Soft Services Fixed Costs April 2012 to March 2013 MOJ HQ MITIE SECURITY,CIS-BS16 7FH,0,Admin
Ministry of Justice,MoJ HQ,25-Feb-13,223000-Other Expenditure,RB999-JPG - CJRD,THE SALVATION ARMY,1094801,"352,090.45","The Salvation Army acts as prime contractor, commissioning services on behalf of Govt for victims of trafficking.",SE1 6BN,0,Programme
Ministry of Justice,MoJ HQ,28-Feb-13,223000-Other Expenditure,LZ600-Transforming Justice,TNT UK LTD,1095129,"85,025.53",Monthly 'storage' and 'activity' costs for paper records stored by TNT on MoJ's behalf at its secure repositories at Swadlincote. £75k per month,BL8 9AR,0,Admin
Ministry of Justice,MoJ HQ,06-Feb-13,223000-Other Expenditure,OZ501-HRD Feeder,CABINET OFFICE,2637,"88,223.00",MOJ share of Civil Service People Survey 2012,CF14 3UW,0,Admin
Ministry of Justice,MoJ HQ,08-Feb-13,223000-Other Expenditure,QZ600-CPG Other,CABINET OFFICE,2648,"414,430.00",OPC Funding Charges FY12/13,CF14 3UW,0,Admin
Ministry of Justice,MoJ HQ,11-Feb-13,223000-Other Expenditure,QZ600-CPG Other,ALLEN LANE LTD,1093389,"587,382.00",'Managed Accounting Service (FY12-13) Fixed Monthly Fee - Jan-13,BN11 2BW,0,Admin
Ministry of Justice,MoJ HQ,28-Feb-13,228000-Prisoner Related Costs,RC999-Criminal Justice Group - OMS,EDUCATIONAL FUNDING AGENCY,1094986,"3,185,727.00",To provide education to young people in custody,CV1 3BH,0,Programme
Ministry of Justice,MoJ HQ,01-Feb-13,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CCRC (CRIMINAL CASES REVIEW COMMISSION),2604,"450,000.00",Grant-in-aid requirement for Arm's Length Body,B3 2PW,0,Grant
Ministry of Justice,MoJ HQ,01-Feb-13,245000-Grants in Aid to NDPBs,RC999-Criminal Justice Group - OMS,YOUTH JUSTICE BOARD FOR ENGLAND & WALES,2610,"49,000,000.00",Grant-in-aid requirement for Arm's Length Body,SW1H 9AJ,0,Grant
Ministry of Justice,MoJ HQ,01-Feb-13,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CICA (CRIMINAL INJURIES COMPENSATION AUTHORITY),2606,"187,000.00",Grant-in-aid requirement for Arm's Length Body,G2 4LN,0,Grant
Ministry of Justice,MoJ HQ,01-Feb-13,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CICA (CRIMINAL INJURIES COMPENSATION AUTHORITY),2605,"30,000,000.00",Grant-in-aid requirement for Arm's Length Body,G2 4LN,0,Grant
Ministry of Justice,MoJ HQ,04-Feb-13,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,THE PAROLE BOARD#KY14820003,2624,"970,000.00",Grant-in-aid requirement for Arm's Length Body,SW1P 2DX,0,Grant
Ministry of Justice,MoJ HQ,28-Feb-13,246000-Current Grants,RG999-CFLAP Accumulator,MONEY ADVICE TRUST,1095058,"25,000.00","""Grant payment to support the work in the field of advice services.  Funding for 2012-13. """,EC4V 2AU,0,Grant
Ministry of Justice,MoJ HQ,28-Feb-13,246000-Current Grants,RG999-CFLAP Accumulator,WILTSHIRE COUNCIL,1095146,"31,191.10",MoJ Central funding of service personnel inquests,BA14 8JN,0,Grant
Ministry of Justice,MoJ HQ,11-Feb-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,BIRMINGHAM CITY COUNCIL,1093403,"34,138.00",Payments to Local Authorities for Looked After Children,B2 2XR,0,Grant
Ministry of Justice,MoJ HQ,07-Feb-13,246000-Current Grants,RC999-Criminal Justice Group - OMS,LONDON BOROUGH OF LAMBETH#RC31620022,1093260,"31,569.00",Payments to Local Authorities for Looked After Children,SW2 1RL,0,Grant
Ministry of Justice,MoJ HQ,14-Feb-13,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1093812,"62,187.41","Electricity supply in 2012-13 to: 102 Petty France, Steel House and Clive House.",PL3 5XQ,0,Admin
Ministry of Justice,MoJ HQ,18-Feb-13,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2695,"99,802.00",Repayment to National Savings and Investments of loan to pay for modernisation development costs.,SW1V 2QX,0,Admin
Ministry of Justice,MoJ HQ,15-Feb-13,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,2684,"531,732.40",Provision of Court Funds Office service for the 2012/13 Financial Year,SW1V 2QX,0,Admin
Ministry of Justice,MoJ HQ,11-Feb-13,262000-SCA Costs,NZ406-Strategic Estates Feeder,LAND SECURITIES PROPERTIES LTD,1093525,"3,746,455.25",Rent - 102 Petty France,WC2N 5AF-RENT,0,Admin
Ministry of Justice,MoJ HQ,21-Feb-13,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1094464,"39,030.79",FSMO 202 - Data migration for the new ERP,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,11-Feb-13,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1093530,"51,601.46",ARAMIS Charges for 2012-13 ; to be reconciled and agreed Monthly,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,07-Feb-13,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1093196,"94,149.74",FSMO 250 - half on acceptance of IA and half upon delivery of hardware and software,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,11-Feb-13,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1093530,"228,827.29",Monthly Payroll Service charges for financial year 2012/13 (This replaces PO10000023349),NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,18-Feb-13,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1094141,"984,800.85",ARAMIS Charges for 2012-13 ; to be reconciled and agreed Monthly,NP10 9XA,0,Admin
Ministry of Justice,MoJ HQ,11-Feb-13,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),1093577,"336,803.84",Parc YOI Contract - FY 12-13,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,11-Feb-13,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,MEDOMSLEY TRAINING SERVICES LTD,1093568,"680,305.54",Supplier is contracted to run a secure training centre which forms part of the juvenile secure estate.,RG29 9XB,0,Programme
Ministry of Justice,MoJ HQ,14-Feb-13,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (ONLEY) LTD,1093811,"1,278,950.57",Supplier is contracted to run a secure training centre which forms part of the juvenile secure estate.,WR12 7LJ,0,Programme
Ministry of Justice,MoJ HQ,14-Feb-13,263000-Other Contracted Out Services,RC999-Criminal Justice Group - OMS,ECD (COOKHAM WOOD) LTD,1093810,"1,363,281.99",Supplier is contracted to run a secure training centre which forms part of the juvenile secure estate.,WR12 7LJ,0,Programme
Ministry of Justice,MoJ HQ,25-Feb-13,263000-Other Contracted Out Services,LZ600-Transforming Justice,STAFFORDSHIRE COUNTY COUNCIL,1094790,"300,943.02",Staffordshire Council County provides the Claims Management Regulation Monitoring and Compliance Unit under contract to the MOJ.,ST16 2LG,0,Admin
Ministry of Justice,MoJ HQ,14-Feb-13,264000-Consultancy,LZ600-Transforming Justice,GATENBY SANDERSON LTD,1093826,"44,419.35",Gatenby Sanderson are providing services for running the Assessment Centre for the Parole Baord campaign.,LS1 2HL,0,Programme
Ministry of Justice,MoJ HQ,18-Feb-13,264000-Consultancy,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1094144,"27,972.65","L-R-03593-01-V01							",CF31 9AP,0,Programme
