Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.01.2012 to 31.01.2012,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,05/01/2012,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,415539,92174.2
DfE,PfS,05/01/2012,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,415541,28023.88
DfE,PfS,05/01/2012,Capital Grant,Schools Capital and Revenue Grants,ROCHESTER DIOCESAN BOARD OF EDUCATION,415543,66953.15
DfE,PfS,05/01/2012,Capital Grant,Schools Capital and Revenue Grants,SOUTHWELL DIOCESAN EDUCATION COMMITTEE NEWCASTLE,415545,63160.11
DfE,PfS,05/01/2012,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,415547,31169.48
DfE,PfS,05/01/2012,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,415555,75682.95
DfE,PfS,05/01/2012,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,415559,68158.92
DfE,PfS,05/01/2012,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD DIOCESAN COUNCIL OF EDUCATION,415561,84410.05
DfE,PfS,05/01/2012,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED - HUGH FARINGDON REORGPROJ,415567,39870
DfE,PfS,05/01/2012,Capital Grant,Schools Capital and Revenue Grants,ST FRANCIS ROMAN CATHOLIC PRIMARY GOVERNMENT FUND,415571,40556.66
DfE,PfS,05/01/2012,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,415573,41866.11
DfE,PfS,12/01/2012,Seconded Staff Costs,Central & West Director,GARDINER & THEOBALD LLP,416498,37440
DfE,PfS,12/01/2012,Property Costs - Free Schools,Director Academies,DTZ  SHARED SERVICE CENTRE,416532,3000
DfE,PfS,12/01/2012,Property Costs - Free Schools,Free School Property Advice,DTZ  SHARED SERVICE CENTRE,416532,7770
DfE,PfS,12/01/2012,Seconded Staff Costs,Free School Property Advice,DTZ  SHARED SERVICE CENTRE,416532,35145.92
DfE,PfS,12/01/2012,"Security,Repairs & Maintenance Free Schools",Free School Property Advice,DTZ  SHARED SERVICE CENTRE,416532,2700
DfE,PfS,12/01/2012,Property Costs - Free Schools,UTCs,DTZ  SHARED SERVICE CENTRE,416532,2970
