Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,MoJ HQ,23/Jan/2014 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1121552,"31,117.02", Clive House: Project and Programme Management  costs for 2013-14.
Ministry of Justice,MoJ HQ,13/Jan/2014 ,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1120483,"4,513.61", Hire of Scarman Training and Conference Centre for Civil Law Seminar 5 via Calders Ref.: CAL14813/1 on 18-19 Nov 2013
Ministry of Justice,MoJ HQ,02/Jan/2014 ,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,CGI IT UK LTD,1119840,"48,221.93","""TW3"" The Way We Work - project costs"
Ministry of Justice,MoJ HQ,30/Jan/2014 ,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,CGI IT UK LTD,1122006,"77,620.00","""TW3"" The Way We Work - project costs"
Ministry of Justice,MoJ HQ,02/Jan/2014 ,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1119816,817.00,1 to 5 Devices Xerox A4Colour Printer Phaser 6500DN WorkCentre
Ministry of Justice,MoJ HQ,02/Jan/2014 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1119896,"186,649.01",102 Petty France: Project and Programme Management  costs for 2013-14.
Ministry of Justice,MoJ HQ,23/Jan/2014 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1121552,"186,649.01",102 Petty France: Project and Programme Management  costs for 2013-14.
Ministry of Justice,MoJ HQ,23/Jan/2014 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1121552,"16,811.46",102 Petty France: reactive maintenance costs for 2013-14. BEC = NE130.
Ministry of Justice,MoJ HQ,02/Jan/2014 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1119896,753.17,30 Millbank: Project and Programme Management costs for 2013-14.
Ministry of Justice,MoJ HQ,23/Jan/2014 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1121552,753.17,30 Millbank: Project and Programme Management costs for 2013-14.
Ministry of Justice,MoJ HQ,23/Jan/2014 ,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1121552,317.05,30 Millbank: reactive maintenance costs for 2013-14
Ministry of Justice,MoJ HQ,02/Jan/2014 ,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1119816,10.09,4-Port USB Hub
Ministry of Justice,MoJ HQ,02/Jan/2014 ,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1119816,10.09,4-Port USB Hub
Ministry of Justice,MoJ HQ,02/Jan/2014 ,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1119816,10.09,4-Port USB Hub
