EA FEB 2012 - >£25k Payments report ,,,,,,,,,,,
Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
14-Feb-12,Construction,AN Capital WiP,Birse Civils Ltd,1043724,931613.98,"Removals and additions to the Reconditioning, Local Levy, Water Resources and Other Works ",DN18 5BW,,30142670,IMAN002370,Project
23-Feb-12,Construction,AN Capital WiP,Birse Civils Ltd,1036311,545269.07,"Removals and additions to the Reconditioning, Local Levy, Water Resources and Other Works ",DN18 5BW,,30142670,IMAN002370,Project
21-Feb-12,Construction,AN Capital WiP,Freedom Group Of Companies Ltd,1037864,325228.39,Instruction for design manufacture supply delivery installation testing and commissioning and training of electrical switchgear with Freedom Group of Companies on Kennett and Wixoe Pumping Station,WF13 1SD,,,IMAN002019,Project
23-Feb-12,Construction,AN Capital WiP,Burgess Salmon,1047915,287958,Methwold habitat creation agreement,BS2 0ZX,,,,Adminstration
07-Feb-12,Professional Services Other,AN Capital WiP,Jackson Civil Engineering Ltd,1038102,252909.9,Wherstead Rd Ipswich Flood alleviation Scheme - Certificate no 5.,IP1 5LT,,30142731,IMAN001216,Project
02-Feb-12,Professional Services Other,AN Capital WiP,Interserve Construction Ltd,1043442,239265.32,"Reconditioning, Local Levy, Water Resources and Other Works Programme works to refurbish 16 assets which include sluices and embankments ",TQ14 0HP,,30142730,IMAN002372,Project
23-Feb-12,Facilities,AN Capital WiP,Broadland Environmental Services Ltd,1040175,229709.11,Broadland flood alleviation project costs,GU15 3XW,,30014973,IMAN000753,Project
02-Feb-12,Construction,AN Capital WiP,Interserve Construction Ltd,1040280,201834.77,"Reconditioning, Local Levy, Water Resources and Other Works Programme to refurbish 16 assets which include sluices and embankments ",TQ14 0HP,,30142730,IMAN002372,Project
23-Feb-12,Construction,AN Capital WiP,Interserve Construction Ltd,1038593,147512.51,"Minsmere to carry out works to raise the Coney Hill Cross embankment, construct a new sluice structure and two additional bunds at the Minsmere reserve",TQ14 0HP,,30142730,IMAN001506,Project
21-Feb-12,Construction,AN Capital WiP,Jackson Civil Engineering Ltd,1036376,134501.75,St Ives Lock Refurbishment,IP1 5LT,,30142731,IMAN001762,Project
