Depart Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No, Amount ,Description,Supplier PostCode,Supplier Type,Contract No,Project Code,Exp Type
,,,,,,,,,,,,,
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,02/02/2012,Sub Contracts,Surveillance Programmes,The University of Liverpool,373372,36658.5,"Provision of veterinary surveillance, diagnostic necropsy and laboratory testing services",L69 7ZX,Large,701236,ED1008,Programme
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,13/02/2012,Sub Contracts,Research Programmes,The Food and Environment Research Agency,374395,147830.26,Research Studies: TB Vaccine,YO41 1LZ,Large,24161,SE3246,Programme
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,13/02/2012,Consult Business-Other,Finance ,Animal Health,374485,44970.52,Financial support,YO1 7PX,Large,,ZZZ0000,Administration
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,06/02/2012,Sub Contracts,Surveillance Programmes,Institute For Animal Health,374508,165137.66,Provision of national reference laboratory requirements to AHVLA,RG20 7NN,Large,701245,SV3900,Programme
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,16/02/2012,Project Misc Expend,Surveillance Programmes,DX Network Services Ltd,374703,25804.1,Movement of samples for the fallen stock project,SL0 9JQ,Large,133525,TS5902,Programme
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,27/02/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,375499,49242.73,Accommodation charges for Weybridge site,B4 6AJ,Large,,ZZZ0000,Administration
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,27/02/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,375512,29532.88,Accommodation charges for Sutton Bonington Regional Laboratory,B4 6AJ,Large,,ZZZ0000,Administration
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,27/02/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,375513,29666.09,Accommodation charges for Sutton Bonington Regional Laboratory,B4 6AJ,Large,,ZZZ0000,Administration
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,27/02/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,375522,846915.24,Accommodation charges for Weybridge site,B4 6AJ,Large,,ZZZ0000,Administration
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,27/02/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,375523,71157.11,Accommodation charges for Weybridge site,B4 6AJ,Large,,ZZZ0000,Administration
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,27/02/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,375524,473503.47,Accommodation charges for Weybridge site,B4 6AJ,Large,,ZZZ0000,Administration
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,27/02/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,375527,41572.41,Accommodation charges for Penrith Regional Laboratory,B4 6AJ,Large,,ZZZ0000,Administration
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,27/02/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,375541,76197.46,Accommodation charges for Lasswade Regional Laboratory,B4 6AJ,Large,,ZZZ0000,Administration
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,27/02/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,375542,75594.24,Accommodation charges for Lasswade Regional Laboratory,B4 6AJ,Large,,ZZZ0000,Administration
"Department for Environment, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,27/02/2012,ED Accommodation Costs,Corporate - Accommodation,DTZ,375543,69098.89,Accommodation charges for Lasswade Regional Laboratory,B4 6AJ,Large,,ZZZ0000,Administration
,Animal Health and Veterinary Laboratories Agency,06/02/2012,LVI ERNIC Suspense,Food and Farming Group,Inland Revenue,20212,65752.92,Payment of National Insurance for Official Veterinarians,BD98 8AA,,,0,Liability
,Animal Health and Veterinary Laboratories Agency,02/02/2012,Hard charges,Food and Farming Group,D T Z,30443,65731.12,"Establishment Costs and Depreciation Charges for the period 01/04/2011 - 30/11/2011 relating to Animal Health property: Carmarthen - Ty Merlin Parc Pensarn, Unit at Parc Pensarn, Ty Merlin, Heol Glasdwr Carmarthen, Dyed ",B4 6HT,,,HARDESTA,Expense
,Animal Health and Veterinary Laboratories Agency,28/02/2012,Hard charges,Food and Farming Group,D T Z,32687,64294.3,"Service Charge Expenditure for the period 01/10/2011 to 31/12/2011 relating to Clyst House, Winslade Park, Clyst St mary, Exeter Devon EX5 1DY. (Services covered - Insurance Premiums, Ground rent,Service Charge, Electricity, Gas, Rates/Community Charge and Water Charges)",B4 6HT,,,HARDESTA,Expense
