Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,,,,,
Department for Work and Pensions ,Corporate,19/04/2010,COMPUTER SERVICES,MISC RFR 5,EVOLVE BUSINESS CONSULTANCY,441902,"75,127.50",,,,,
Department for Work and Pensions ,Corporate,19/04/2010,CAPITAL GRANTS,GROUP FINANCE,HASTINGS TRUST,441910,"223,319.00",,,,,
Department for Work and Pensions ,Corporate,19/04/2010,EMPLOYMENT ZONES,GROUP FINANCE,HASTINGS TRUST,441910,"58,856.00",,,,,
Department for Work and Pensions ,"Pension, Disability Carers Services",19/04/2010,STAFF COSTS,PDCS CHANGE ,PARITY TRAINING LTD,441955,"7,032.00",,,,,
Department for Work and Pensions ,"Pension, Disability Carers Services",19/04/2010,STAFF COSTS,PDCS CHANGE ,PARITY TRAINING LTD,441955,"1,361.50",,,,,
Department for Work and Pensions ,"Pension, Disability Carers Services",19/04/2010,STAFF COSTS,PDCS CHANGE ,PARITY TRAINING LTD,441955,"7,408.00",,,,,
Department for Work and Pensions ,"Pension, Disability Carers Services",19/04/2010,STAFF COSTS,PDCS CORE,PARITY TRAINING LTD,441955,957.00,,,,,
Department for Work and Pensions ,"Pension, Disability Carers Services",19/04/2010,STAFF COSTS,PDCS CORE,PARITY TRAINING LTD,441955,837.00,,,,,
Department for Work and Pensions ,"Pension, Disability Carers Services",19/04/2010,STAFF COSTS,PDCS CORE,PARITY TRAINING LTD,441955,705.00,,,,,
Department for Work and Pensions ,"Pension, Disability Carers Services",19/04/2010,STAFF COSTS,PDCS CORE,PARITY TRAINING LTD,441955,"3,606.00",,,,,
Department for Work and Pensions ,Jobcentre Plus,19/04/2010,STAFF COSTS,TPMD,PARITY TRAINING LTD,441955,"5,484.66",,,,,
Department for Work and Pensions ,Corporate,19/04/2010,STAFF COSTS,WWG TOP LEVEL,PARITY TRAINING LTD,441955,112.80,,,,,
Department for Work and Pensions ,Corporate,19/04/2010,STAFF COSTS,WWG TOP LEVEL,PARITY TRAINING LTD,441955,451.20,,,,,
Department for Work and Pensions ,Corporate,19/04/2010,STAFF COSTS,WWG TOP LEVEL,PARITY TRAINING LTD,441955,"2,820.00",,,,,
Department for Work and Pensions ,Corporate,19/04/2010,STAFF COSTS,CORPORATE IT,PARITY TRAINING LTD,441955,"13,036.84",,,,,
Department for Work and Pensions ,Corporate,19/04/2010,STAFF COSTS,SHARED SERVICES ,PARITY TRAINING LTD,441955,"1,596.50",,
Department for Work and Pensions ,Corporate,19/04/2010,STAFF COSTS,SHARED SERVICES ,PARITY TRAINING LTD,441955,"2,036.00",,
Department for Work and Pensions ,Corporate,19/04/2010,STAFF COSTS,MISC RFR 5,PARITY TRAINING LTD,441955,"2,121.75",,
Department for Work and Pensions ,Corporate,19/04/2010,STAFF COSTS,CORPORATE IT,PARITY TRAINING LTD,441955,"6,098.25",,
Department for Work and Pensions ,Corporate,19/04/2010,STAFF COSTS,CORPORATE IT,PARITY TRAINING LTD,441955,"4,890.00",,
Department for Work and Pensions ,Corporate,19/04/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,PARITY TRAINING LTD,441955,621.46,,
Department for Work and Pensions ,Corporate,09/04/2010,PROFESSIONAL FEES,PENSIONS CLIENT DIRECTORATE,PRICE WATERHOUSE COOPER,547212,824.19,,
Department for Work and Pensions ,Corporate,09/04/2010,EMPLOYMENT ZONES,PENSIONS CLIENT DIRECTORATE,PRICE WATERHOUSE COOPER,547212,"21,490.00",,
Department for Work and Pensions ,Corporate,09/04/2010,INTERNATIONAL PROGRAMMES,WWG TOP LEVEL,UNIVERSITY OF MANCHESTER,547275,"52,742.90",,
Department for Work and Pensions ,Jobcentre Plus,14/04/2010,STAFF COSTS,ESD,ENHANCE MEDIA LTD,547635,"21,920.00",,
Department for Work and Pensions ,"Pension, Disability Carers Services",14/04/2010,PROFESSIONAL FEES,PDCS CORE,EXPERIAN LTD,547641,"120,677.40",,
Department for Work and Pensions ,Employment Programmes,14/04/2010,WORKSTEP,WWG CORE PROGRAMME,GLASGOW BLINDCRAFT,547660,"38,027.60",,
Department for Work and Pensions ,"Pension, Disability Carers Services",14/04/2010,PROFESSIONAL FEES,PDCS CORE,LEEDS METROPOLITAN UNIVERSITY POLICY RESEARCH INSTITUTE PRI,547733,"28,640.00",,
Department for Work and Pensions ,Employment Programmes,16/04/2010,OTHER CURRENT,WWG CORE PROGRAMME,ESTYN,548035,"125,476.83",,
Department for Work and Pensions ,Corporate,16/04/2010,INTERNATIONAL PROGRAMMES,WWG TOP LEVEL,UNIVERSITY OF MANCHESTER,548203,"79,114.35",,
Department for Work and Pensions ,Corporate,21/04/2010,COMMUNICATIONS & PUBLICITY,DIRECTGOV ,ASPECT FILM & VIDEO,548255,"35,168.00",,
Department for Work and Pensions ,Jobcentre Plus,21/04/2010,NON PRIME CHARGES,JOBCENTRE PLUS,COMPANIES HOUSE,548293,"197,867.90",,
Department for Work and Pensions ,Corporate,21/04/2010,NON PRIME CHARGES,GROUP FINANCE,SOUTHERN ELECTRIC PLC,548446,"229,987.87",,
Department for Work and Pensions ,"Pension, Disability Carers Services",23/04/2010,PROFESSIONAL FEES,PDCS CORE,INNES,548669,"25,410.00",,
Department for Work and Pensions ,Employment Programmes,26/04/2010,WORK PREPARATION,WWG CORE PROGRAMME,CAM YMLAEN,548900,"24,947.00",,
Department for Work and Pensions ,Employment Programmes,26/04/2010,WORK PREPARATION,WWG CORE PROGRAMME,CAM YMLAEN,548900,812.52,,
Department for Work and Pensions ,Corporate,06/04/2010,EMPLOYMENT ZONES,WWG TOP LEVEL,DEPARTMENT OF HEALTH,1004143,"8,930.00",,
Department for Work and Pensions ,Corporate,06/04/2010,EMPLOYMENT ZONES,WWG TOP LEVEL,DEPARTMENT OF HEALTH,1004143,"21,246.02",,
Department for Work and Pensions ,Corporate,07/04/2010,NETWORK,CORPORATE IT,BT SYNTEGRA,1004145,"99,844,363.05",,
Department for Work and Pensions ,Corporate,07/04/2010,TOTAL SUPPLIES & SERVICES,WWG TOP LEVEL,GOVERNMENT EQUALITIES OFFICE,1004146,"53,992.16",,
Department for Work and Pensions ,Corporate,07/04/2010,GRANTS IN AID TO PUBLIC CORPORATIONS,PENSIONS CLIENT DIRECTORATE,PENSION PROTECTION FUND,1004148,"2,000,000.00",,
Department for Work and Pensions ,Corporate,07/04/2010,GRANTS IN AID TO PUBLIC CORPORATIONS,PENSIONS CLIENT DIRECTORATE,PENSION PROTECTION FUND,1004148,"250,000.00",,
Department for Work and Pensions ,Corporate,07/04/2010,GRANTS IN AID TO PUBLIC CORPORATIONS,PENSIONS CLIENT DIRECTORATE,PENSION PROTECTION FUND,1004148,"640,000.00",,
Department for Work and Pensions ,Corporate,07/04/2010,GRANTS IN AID TO EXECUTIVE NDPBs,PENSIONS CLIENT DIRECTORATE,THE PENSIONS REGULATOR,1004149,"8,023,000.00",,
Department for Work and Pensions ,Corporate,12/04/2010,BANKING AND ENCASHMENT COSTS,GROUP FINANCE,POST OFFICE LTD,1004152,"7,670,763.50",,
Department for Work and Pensions ,Employment Programmes,12/04/2010,GRANTS IN AID TO PUBLIC CORPORATIONS,WWG CORE PROGRAMME,REMPLOY LTD,1004153,"18,000,000.00",,
Department for Work and Pensions ,Corporate,12/04/2010,OTHER GOODS AND SERVICES,WWG TOP LEVEL,VALUATION OFFICE AGENCY,1004155,"1,380,000.00",,
Department for Work and Pensions ,Corporate,16/04/2010,OTHER BANKING & PO COSTS,GROUP FINANCE,ALLIANCE & LEICESTER COMMERCIAL BANK PLC,1004156,"1,613,896.50",,
Department for Work and Pensions ,Corporate,16/04/2010,OTHER BANKING & PO COSTS,SHARED SERVICES ,ALLIANCE & LEICESTER COMMERCIAL BANK PLC,1004156,"5,242.50",,
Department for Work and Pensions ,Corporate,16/04/2010,BANK COMMISSIONS,SHARED SERVICES ,ALLIANCE & LEICESTER COMMERCIAL BANK PLC,1004156,275.00,,
Department for Work and Pensions ,Corporate,16/04/2010,MANAGEMENT CONSULTANCY,MISC RFR 5,DELOITTE & TOUCHE LLP,1004159,"103,387.90",,
Department for Work and Pensions ,Corporate,16/04/2010,FINANCIAL ASSISTANCE SCHEME,PENSIONS CLIENT DIRECTORATE,PENSION PROTECTION FUND,1004166,"2,900,000.00",,
Department for Work and Pensions ,Corporate,16/04/2010,BANKING AND ENCASHMENT COSTS,GROUP FINANCE,POST OFFICE LTD,1004168,"8,381,167.20",,
Department for Work and Pensions ,Corporate,16/04/2010,GRANTS IN AID TO EXECUTIVE NDPBs,PENSIONS CLIENT DIRECTORATE,THE PENSIONS OMBUDSMAN,1004169,"818,000.00",,
Department for Work and Pensions ,Corporate,16/04/2010,GRANTS IN AID TO EXECUTIVE NDPBs,PENSIONS CLIENT DIRECTORATE,THE PENSIONS REGULATOR,1004171,"199,000.00",,
Department for Work and Pensions ,Corporate,20/04/2010,MISCELLANEOUS EXPENDITURE,PENSIONS CLIENT DIRECTORATE,SUFFOLK COUNTY COUNCIL,1004174,"93,550.00",,
Department for Work and Pensions ,Jobcentre Plus,28/04/2010,APPS DEV,TPM PROGRAMMES,HP ENTERPRISE SERVICES UK LTD,1004185,"17,422.49",,
Department for Work and Pensions ,Jobcentre Plus,28/04/2010,COMPUTER SERVICES,TPMD,HP ENTERPRISE SERVICES UK LTD,1004185,"2,667.13",,
Department for Work and Pensions ,Jobcentre Plus,28/04/2010,COMPUTER SERVICES,ISD,HP ENTERPRISE SERVICES UK LTD,1004185,"22,596.25",,
Department for Work and Pensions ,Corporate,28/04/2010,APPS DEV,SHARED SERVICES ,HP ENTERPRISE SERVICES UK LTD,1004185,"18,274.72",,
Department for Work and Pensions ,Corporate,28/04/2010,COMPUTER SERVICES,MISC RFR 5,HP ENTERPRISE SERVICES UK LTD,1004185,"3,153.33",,
Department for Work and Pensions ,Corporate,28/04/2010,COMPUTER SERVICES,CORPORATE IT,HP ENTERPRISE SERVICES UK LTD,1004185,"11,411.21",,
Department for Work and Pensions ,Corporate,28/04/2010,COMPUTER SERVICES,CHANGE MANAGEMENT DIRECTORATE,HP ENTERPRISE SERVICES UK LTD,1004185,"5,978.55",,
Department for Work and Pensions ,Corporate,28/04/2010,COMPUTER SERVICES,CHANGE MANAGEMENT DIRECTORATE,HP ENTERPRISE SERVICES UK LTD,1004185,"13,378.28",,
Department for Work and Pensions ,Corporate,28/04/2010,APPS DEV,CHANGE MANAGEMENT DIRECTORATE,HP ENTERPRISE SERVICES UK LTD,1004185,"7,738.83",,
Department for Work and Pensions ,Corporate,29/04/2010,MANAGEMENT CONSULTANCY,CORPORATE IT,DCSF RM SHARED SERVICES,1004186,"199,750.00",,
Department for Work and Pensions ,Corporate,29/04/2010,BANKING AND ENCASHMENT COSTS,GROUP FINANCE,POST OFFICE LTD,1004190,"6,165,294.01",,
