Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Latest Contract Number,Project Code,Expenditure Type
,,20/07/2016,DH Support to Mergers,DG: Central Technical,ROYAL FREE LONDON NHS FOUNDATION TRUST,I0120155,"1,137,000.00",Implementation of Barnet and Chase Farm Operational Efficiency,NW3 2QG,PUBLIC,,,
,,01/08/2016,IT minor costs non capital,DG: GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584206875,"10,441.21",DH Small Moves Programme -  Ref.WR750-2,WS11 0JA,LARGE,,,
,,01/08/2016,IT minor costs non capital,DG: GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584206875,"14,361.03",WR750 - DH Moves Programme - Re:PO526764,WS11 0JA,LARGE,,,
,,01/08/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-21348,"10,000,000.00",,,PUBLIC,,,
,,01/08/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-21349,"15,000,000.00",,WF3 1WE,PUBLIC,,,
,,01/08/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,HAFS-21350,"405,000,000.00",,LS1 4PL,PUBLIC,,,
,,01/08/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH RESEARCH AUTHORITY,HAFS-21351,"1,100,000.00",,SE1 6LH,PUBLIC,,,
,,01/08/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-21352,"6,000,000.00",,,PUBLIC,,,
,,01/08/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-21353,"11,700,000.00",,NE1 6SN,PUBLIC,,,
,,01/08/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NHS ENGLAND CBA033,HAFS-21354,"3,184,338,000.00",,LS2 7UE,PUBLIC,,,
,,01/08/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NHS ENGLAND CBA033,HAFS-21355,"5,508,855,000.00",,LS2 7UE,PUBLIC,,,
,,01/08/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,PUBLIC HEALTH ENGLAND PHE033,HAFS-21356,"79,500,000.00",,SP4 0JG,PUBLIC,,,
,,01/08/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,WEST SUFFOLK NHS FOUNDATION TRUST,HAFS-21357,"300,000.00",,IP33 3QZ,PUBLIC,,,
,,01/08/2016,Additions NHS FTs Capital Investment Loans,DG: Central Technical,WEST SUFFOLK NHS FOUNDATION TRUST,HAFS-21358,"1,100,000.00",,IP33 3QZ,PUBLIC,,,
,,01/08/2016,Additions FT Financing Facility Loans,DG: Central Technical,WEST SUFFOLK NHS FOUNDATION TRUST,HAFS-21359,"400,000.00",,IP33 3QZ,PUBLIC,,,
,,01/08/2016,Storage costs,"DG: INNOVATION, GROWTH & TECHNOLOGY",ACCORD HEALTHCARE LTD,,"69,811.00",,DAADF82036,LARGE,,,
,,01/08/2016,School Fruit and Veg Scheme,DG: PUBLIC & INTERNATIONAL HEALTH,"Minor, Weir & Willis Ltd",,"67,301.34",,SIN0082299,,,,
,,01/08/2016,School Fruit and Veg Scheme,DG: PUBLIC & INTERNATIONAL HEALTH,"Minor, Weir & Willis Ltd",,"48,512.51",,SIN0082301,,,,
,,01/08/2016,School Fruit and Veg Scheme,DG: PUBLIC & INTERNATIONAL HEALTH,"Minor, Weir & Willis Ltd",,"33,041.33",,SIN0082302,,,,
,,02/08/2016,Service charge,"DG: FINANCE, COMMERCIAL & NHS",NHS SHARED BUSINESS SERVICES SBS,100042398,"27,083.33",SBS- Digital Archive Services - Annual Service Charge,WF3 1WE,PUBLIC,,,
,,02/08/2016,Outsourcing Contract,DG: RESEARCH & DEVELOPMENT,PA CONSULTING SERVICES LTD,10114524,"164,640.00",Information Systems,SG8 6DP,LARGE,,,
,,02/08/2016,Outsourcing Contract,DG: RESEARCH & DEVELOPMENT,PA CONSULTING SERVICES LTD,10114544,"22,950.00",Information Systems,SG8 6DP,LARGE,,,
,,02/08/2016,Outsourcing Contract,DG: RESEARCH & DEVELOPMENT,PA CONSULTING SERVICES LTD,10114544,"10,467.00",Information Systems,SG8 6DP,LARGE,,,
,,02/08/2016,Outsourcing Contract,DG: RESEARCH & DEVELOPMENT,PA CONSULTING SERVICES LTD,10114545,"27,630.00",Information Systems,SG8 6DP,LARGE,,,
,,02/08/2016,Arm Length Bodies-Capital Subsidy,"DG: INNOVATION, GROWTH & TECHNOLOGY",MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY MHP033,1600236,"1,000,000.00",MHRA's 16/17 Capital Allocation (Devices),SW1W 9SZ,PUBLIC,,,
,,02/08/2016,Arm Length Bodies-Capital Subsidy,"DG: INNOVATION, GROWTH & TECHNOLOGY",MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY MHP033,1600238,"6,000,000.00",MHRA's 16/17 Capital Allocation (NIBSC),SW1W 9SZ,PUBLIC,,,
