Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01-Dec-10,CASH FUNDING Revenue inside Resource Accounting Boundary,FINANCE & OPERATIONS (DM),"ASHTON, LEIGH & WIGAN PCT",HAFS-9549,38000000,
Department of Health,Department of Health,01-Dec-10,CASH FUNDING Revenue inside Resource Accounting Boundary,FINANCE & OPERATIONS (DM),BARKING AND DAGENHAM PCT,HAFS-9550,27000000,
Department of Health,Department of Health,01-Dec-10,CASH FUNDING Revenue inside Resource Accounting Boundary,FINANCE & OPERATIONS (DM),BARNET PCT,HAFS-9551,42000000,
Department of Health,Department of Health,01-Dec-10,CASH FUNDING Revenue inside Resource Accounting Boundary,FINANCE & OPERATIONS (DM),BARNSLEY PCT,HAFS-9552,33000000,
Department of Health,Department of Health,01-Dec-10,CASH FUNDING Revenue inside Resource Accounting Boundary,FINANCE & OPERATIONS (DM),BASSETLAW PCT,HAFS-9553,13500000,
Department of Health,Department of Health,01-Dec-10,CASH FUNDING Revenue inside Resource Accounting Boundary,FINANCE & OPERATIONS (DM),BATH & NORTH EAST SOMERSET PCT,HAFS-9554,19500000,
Department of Health,Department of Health,01-Dec-10,CASH FUNDING Revenue inside Resource Accounting Boundary,FINANCE & OPERATIONS (DM),BEDFORDSHIRE PCT,HAFS-9555,44000000,
Department of Health,Department of Health,01-Dec-10,CASH FUNDING Revenue inside Resource Accounting Boundary,FINANCE & OPERATIONS (DM),BERKSHIRE EAST PCT,HAFS-9556,40300000,
Department of Health,Department of Health,01-Dec-10,CASH FUNDING Revenue inside Resource Accounting Boundary,FINANCE & OPERATIONS (DM),BERKSHIRE WEST PCT,HAFS-9557,42000000,
Department of Health,Department of Health,01-Dec-10,CASH FUNDING Revenue inside Resource Accounting Boundary,FINANCE & OPERATIONS (DM),BEXLEY CARE TRUST,HAFS-9558,26500000,
Department of Health,Department of Health,01-Dec-10,CASH FUNDING Revenue inside Resource Accounting Boundary,FINANCE & OPERATIONS (DM),BIRMINGHAM EAST AND NORTH PCT,HAFS-9559,53000000,
Department of Health,Department of Health,01-Dec-10,CASH FUNDING Revenue inside Resource Accounting Boundary,FINANCE & OPERATIONS (DM),BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,HAFS-9560,19848000,
