Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2015,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,57169,487.88,Central Functions-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2015,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,57912,288.62,Central Functions-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2015,Hire of Agency Staff,Enterprise & Skills Group - Enterprise Directorate,BROOK STREET (UK) LTD,59071,922.09,E&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2015,Hire of Agency Staff,Enterprise & Skills Group - Enterprise Directorate,BROOK STREET (UK) LTD,60085,782.70,E&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2015,Hire of Agency Staff,Enterprise & Skills Group - Enterprise Directorate,BROOK STREET (UK) LTD,61186,713.00,E&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2015,Hire of Agency Staff,Enterprise & Skills Group - Enterprise Directorate,BROOK STREET (UK) LTD,62041,1018.58,E&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2015,Hire of Agency Staff,Enterprise & Skills Group - Enterprise Directorate,BROOK STREET (UK) LTD,62043,670.12,E&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2015,Hire of Agency Staff,Enterprise & Skills Group - Enterprise Directorate,BROOK STREET (UK) LTD,64301,670.12,E&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2015,Hire of Agency Staff,Enterprise & Skills Group - Enterprise Directorate,BROOK STREET (UK) LTD,64302,964.98,E&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2015,Hire of Agency Staff,Enterprise & Skills Group - Enterprise Directorate,BROOK STREET (UK) LTD,65170,997.14,E&S Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/07/2015,Rail Travel,Enterprise & Skills Group - Better Regulation Delivery Office,SCOTT ROBERT LLP,71208,263.00,BRDO: PA Delivery-Rail Travel,M1 5NG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/07/2015,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,SCOTT ROBERT LLP,71208,500.00,BRDO: PA Delivery-Technical Advice / Services & Support,M1 5NG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/07/2015,Water,Finance & Commercial Group - Estates,THAMES WATER UTILITIES LTD,75640,1794.31,F&C Devolved Admin-Water,SN38 3TW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/07/2015,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,91589,61099.15,F&C Devolved Admin-Other IT Consultancy,MK3 5JP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/07/2015,Hire of Interim Managers,Business & Local Growth - Regional Growth,CAPITA BUSINESS SERVICES LTD,92186,-1499.08,BLG Devolved Admin-Hire of Interim Managers,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/07/2015,Hire of Interim Managers,Business & Local Growth - Regional Growth,CAPITA BUSINESS SERVICES LTD,92186,2239.20,BLG Devolved Admin-Hire of Interim Managers,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/07/2015,Hire of Interim Managers,Business & Local Growth - Regional Growth,CAPITA BUSINESS SERVICES LTD,92186,2248.62,BLG Devolved Admin-Hire of Interim Managers,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/07/2015,Other Allowances,Business & Local Growth - Regional Growth,CAPITA BUSINESS SERVICES LTD,92186,104.22,BLG Devolved Admin-Other Allowances,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2015,Conference and Exhibition Services,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat",CALDER CONFERENCES LTD,92534,-375.00,PSHE Devolved Admin-Conference and Exhibition Services,LS16 6RF,VENDOR,,,
