Departmental Family,Entity,Date,Expense Type Lookup,Expense Area Lookup,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2010,TEMPORARY (TEMP) STAFF COSTS,Children Young People and Families Group,CAPITA RESOURCING LTD,4000041258,"25,560"
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2010,TEMPORARY (TEMP) STAFF COSTS,Children Young People and Families Group,CAPITA RESOURCING LTD,4000041258,"18,268"
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2010,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,CAPITA RESOURCING LTD,4000041258,"12,959"
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2010,TEMPORARY (TEMP) STAFF COSTS,Finance Group Shared Services Schools and Category Management,CAPITA RESOURCING LTD,4000041258,"1,721"
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2010,TEMPORARY (TEMP) STAFF COSTS,Education Strategy and Improvement Group,CAPITA RESOURCING LTD,4000041258,"2,231"
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2010,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000041258,"46,823"
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2010,TEMPORARY (TEMP) STAFF COSTS,Corporate and Internal Communications Group,CAPITA RESOURCING LTD,4000041258,"19,353"
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2010,CONTRACT PROGRAMME EXPENDITURE,Academies Delivery Group,EDUTRUST ACADEMIES CHARITABLE TRUST,4000041259,"150,751"
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2010,CURRENT GRANTS,Academies Delivery Group,LEARNING SCHOOLS TRUST,4000041261,"188,516"
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2010,CURRENT GRANTS,Children Young People and Families Group,PARENTLINE PLUS,4000041264,"94,120"
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2010,PROFESSIONAL FEES,Academies Policy and Schools Organisation Group,THE TREASURY SOLICITOR,4000041269,"28,868"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CONTRACT PROGRAMME EXPENDITURE,Academies Policy and Schools Organisation Group,A4E LTD,4000041292,"31,176"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Children Young People and Families Group,ADVISORY CENTRE FOR EDUCATION,4000041294,"126,749"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CONTRACT PROGRAMME EXPENDITURE,Academies Delivery Group,APPLEYARDS LTD,4000041295,"99,224"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Children Young People and Families Group,BOOK TRUST,4000041300,"275,414"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,BOOK TRUST,4000041300,"670,332"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CURRENT GRANTS,School Standards Group,BOOK TRUST,4000041300,"99,433"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CONTRACT PROGRAMME EXPENDITURE,School Standards Group,CAPITA BUSINESS SERVICES LTD,4000041302,"6,311,997"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CONTRACT PROGRAMME EXPENDITURE,School Standards Group,CAPITA BUSINESS SERVICES LTD,4000041303,"444,495"
Department for Education,DEPARTMENT FOR EDUCATION,02/12/2010,CONTRACT PROGRAMME EXPENDITURE,School Standards Group,CAPITA BUSINESS SERVICES LTD,4000041304,"200,040"
