Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Expenditure Description,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,STOKE ON TRENT CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075941,896510
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,SUFFOLK COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075942,1251881
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,SUNDERLAND CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075943,946909
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,SURREY COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075944,1366895
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,SWINDON BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075945,362397
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,TAMESIDE MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075946,688003
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,TELFORD & WREKIN COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075947,582928
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,THE LONDON BOROUGH OF HACKNEY,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075948,1033216
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,THE ROYAL BOROUGH OF KENSINGTON & CHELSEA COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075949,379310
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,THE ROYAL BOROUGH OF WINDSOR & MAIDENHEAD,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075950,179652
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,THURROCK COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075951,381231
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,TORBAY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075952,314085
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,TRAFFORD MB COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075953,476173
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,WAKEFIELD MDC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075954,753293
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,WALSALL MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075955,970475
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,WARRINGTON BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075956,429930
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,WARWICKSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075957,852821
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,WEST BERKSHIRE COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075958,217434
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,WEST SUSSEX COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075959,960590
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,WIGAN MBC,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075960,893516
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,WILTSHIRE COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075961,752927
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,WOKINGHAM BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075962,150652
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,WOLVERHAMPTON CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075963,995898
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,WORCESTERSHIRE COUNTY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075964,1035798
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Current Grants,Education Funding Group,YORK CITY COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075965,307134
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,Professional Services Other,Academies Delivery Group,VEREDUS C/O CAPITA RESOURCING LTD,Commercial,"Costs related to fees and expenses of professional from the private sector, for example implementing advice or changes",4000073793,92618.26
Department for Education,DEPARTMENT FOR EDUCATION,15/03/2012,DfE Programme Costs,Free School Group,APPLEYARDS LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074280,34492.8
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,DfE Programme Costs,Free School Group,APPLEYARDS LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074508,16259
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,DfE Programme Costs,Free School Group,APPLEYARDS LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075067,42093.01
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,Current Grants,Free School Group,ARK SCHOOLS,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000075306,17742.36
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Current Grants,Free School Group,ATHERTON COMMUNITY SCHOOL,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000074065,65011.15
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2012,Current Grants,Free School Group,CANARY WHARF COLLEGE FREE SCHOOL,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000076138,40417.37
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,792.41
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,Current Grants,Free School Group,CET PRIMARY SCHOOL,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000075313,33037.43
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,DfE Programme Costs,Free School Group,EC HARRIS LLP,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000073867,43384.99
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,DfE Programme Costs,Free School Group,EC HARRIS LLP,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075323,29859
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,DfE Programme Costs,Free School Group,PKF UK LLP,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074570,38266.5
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,DfE Programme Costs,Free School Group,PKF UK LLP,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075217,28913.04
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,DfE Programme Costs,Free School Group,PKF UK LLP,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075351,20392.5
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,DfE Programme Costs,Free School Group,PKF UK LLP,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075490,34371
Department for Education,DEPARTMENT FOR EDUCATION,14/03/2012,DfE Programme Costs,Free School Group,PLACE GROUP LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074216,18515.6
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,DfE Programme Costs,Free School Group,PLACE GROUP LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075352,86541.04
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Current Grants,Free School Group,REACH ACADEMY,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000075675,37583.25
Department for Education,DEPARTMENT FOR EDUCATION,15/03/2012,DfE Programme Costs,Free School Group,APPLEYARDS LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074280,22800
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,DfE Programme Costs,Free School Group,PKF UK LLP,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074570,24594.21
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,DfE Programme Costs,Free School Group,PKF UK LLP,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075351,16603
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,DfE Programme Costs,Free School Group,PKF UK LLP,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075490,24091
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,DfE Programme Costs,Free School Group,PLACE GROUP LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075352,2486.38
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Free School Group,NEW SCHOOL NETWORK,VCS,Current grant to third sector organisation / not for profit organisation,4000075483,54051.97
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Professional Services Other,Academies Policy and Schools Organisation Group,DLA PIPER UK LLP,Commercial,Costs related to legal service provided externally for litigation activity (excluding the Treasury Solicitor),4000073487,91467.05
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Young People Directorate Support,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,363.1
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Young People Directorate Support,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,178.99
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Young People Directorate Support,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,364.36
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Young People Directorate Support,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,93.2
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Young People Analysis Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,2103.83
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Young People Analysis Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,1252.5
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Young People Analysis Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1081.73
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Young People Analysis Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,322.66
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,42.88
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,84.41
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Post 16 Young People Learning Agency Resources Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,654.21
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Post 16 Young People Learning Agency Resources Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,38.99
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Post 16 Young People Learning Agency Resources Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,28.99
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Post 16 Young People Learning Agency Resources Group,BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,153.89
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Post 16 Young People Learning Agency Resources Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,504.54
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Post 16 Young People Learning Agency Resources Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,1076.73
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Post 16 Young People Learning Agency Resources Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,907.25
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Post 16 Young People Learning Agency Resources Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,93.53
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,3331.56
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,1441.65
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,2985.07
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Academies Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,864.58
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Office of the Schools Commissioner Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,946.68
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Office of the Schools Commissioner Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,947.32
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Office of the Schools Commissioner Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,909.02
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Office of the Schools Commissioner Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,342.38
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,92.87
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Academies Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,84.22
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,13.54
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,2101.98
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,1842.9
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,3621.44
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Personnel Related,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to subsistence and lodging allowances for official duty,4000073483,187.79
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Academies Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,517.02
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Academies Delivery Group,BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,157.39
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1492.66
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,1951.93
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,7315.2
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Academies Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,220.99
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,2955.91
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,425.03
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Academies Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,969.1
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Academies Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,74.9
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Office of the Schools Commissioner Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1726.23
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Office of the Schools Commissioner Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,496.14
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Office of the Schools Commissioner Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,990.06
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Office of the Schools Commissioner Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,61.86
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1715.53
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,215.01
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1684.89
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Free School Group,BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,11.76
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1196.97
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,277.38
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,316.4
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1045.12
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,299.86
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1810.7
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Professional Services Other,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,"Costs related to fees and expenses of professional from the private sector, for example implementing advice or changes",4000074077,132.55
Department for Education,DEPARTMENT FOR EDUCATION,14/03/2012,DfE Programme Costs,Free School Group,PLACE GROUP LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074216,52674.87
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,DfE Programme Costs,Free School Group,PLACE GROUP LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075672,60621.59
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1763.96
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,1341.5
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1508.25
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Free School Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,251.16
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,2534.21
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,2456.88
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Free School Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,978.79
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Free School Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,103.76
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Education Funding Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,32.52
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Education Funding Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,345.33
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Education Funding Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,603.06
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,Miscellaneous payments to other government departments,Post 16 Young People Learning Agency Resources Group,CIVIL SERVICE SUPERANNUATION,Public Sector,Low value miscellaneous payments to other government departments,2000565,33100
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,Current Grants,Post 16 Young People Learning Agency Resources Group,LONDON COUNCILS,Public Sector,Current grant to third sector organisation / not for profit organisation,1000565,52562.83
Department for Education,DEPARTMENT FOR EDUCATION,27/03/2012,Current Grants,Post 16 Young People Learning Agency Resources Group,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",2000571,66670053
Department for Education,DEPARTMENT FOR EDUCATION,02/03/2012,Current Grants to Arms Length Bodies,Post 16 Young People Learning Agency Resources Group,YOUNG PEOPLES LEARNING AGENCY,Public Sector,Funding to arms length bodies for DfE's contribution to fund activity,2000552,1128700000
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Post 16 Young People Learning Agency Resources Group,PROLOG,Commercial,Publications and related services,4000074430,25.35
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Academies Policy and Schools Organisation Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,79.56
Department for Education,DEPARTMENT FOR EDUCATION,20/03/2012,Professional Services Consultancy,Academies Policy and Schools Organisation Group,OWEN EDUCATION LTD,Commercial,"Costs related to fees and expenses of professionals from the private sector such as auditors, accountants, lawyers engaged to provide advice or opinion on how to affect something",4000074686,24929.65
Department for Education,DEPARTMENT FOR EDUCATION,01/03/2012,Current Grants,Academies Delivery Group,ABBEY GRANGE ACADEMY,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000073197,25000
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,Current Grants,Academies Delivery Group,ABINGTON VALE PRIMARY SCHOOL,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000074505,25000
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Academies Delivery Group,ACADEMY ENTERPRISE TRUST,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000075065,65000
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2012,Current Grants,Academies Delivery Group,ALBANY SCIENCE COLLEGE,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000073570,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/03/2012,Current Grants,Academies Delivery Group,ALL SAINTS CATHOLIC HIGH SCHOOL,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000073200,25000
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Academies Delivery Group,ALTRINCHAM COLLEGE OF ARTS,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000075447,25000
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2012,Current Grants,Academies Delivery Group,ASHTON ON MERSEY SCHOOL,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000073572,25000
Department for Education,DEPARTMENT FOR EDUCATION,07/03/2012,Current Grants,Academies Delivery Group,BARNBY DUN PRIMARY SCHOOL,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000073574,25000
