Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Expenditure Description,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Children Young People and Families Directorate Support Group,BT,Commercial,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",4000075174,196.18
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Directorate Support Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,539.15
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Children Young People and Families Directorate Support Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,180.01
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Directorate Support Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,128.95
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,50.33
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Personnel Related,Families Group,APPOINTMENTS COMMISSION,Public Sector,Costs related to staff expenses including membership fees to professional bodies and CRB checks,4000075448,29991.6
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,102.14
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,Operational Goods and Services,Families Group,THE STATIONERY OFFICE LTD,Commercial,Costs related to the provision of books and publications including journals,4000073787,7908.08
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,581.92
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,1127.73
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,969.62
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Families Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,177.36
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1638.59
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,910.75
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1926.74
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Personnel Related,Families Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to subsistence and lodging allowances for official duty,4000074077,402.92
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Personnel Related,Families Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to subsistence and lodging allowances for official duty,4000075972,767.29
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel to attend training events,4000075972,13.82
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Families Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,739.47
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1669.29
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,369.12
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,421.83
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,311.28
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,959.22
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,1314.36
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,769.73
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Children Young People and Families Supporting Delivery Group,BT,Commercial,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",4000075174,59.47
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,557.21
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,384.7
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,954.62
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,378.22
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,890.67
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel to attend training events,4000073483,76.01
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,140.82
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,178.99
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,1253.33
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,228.9
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,795.89
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,382.11
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,517.74
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,431.35
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,1153.15
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,104.15
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,2346.08
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,2011.72
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,3760.05
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Personnel Related,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to subsistence and lodging allowances for official duty,4000075972,45.91
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,1348.45
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,78.94
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,120.31
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Children Young People and Families Safeguarding Group,BT,Commercial,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",4000075174,59.47
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Children Young People and Families Safeguarding Group,BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,8.74
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,3706.37
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000074077,5517.12
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,4631.92
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Travel and Events,Children Young People and Families Safeguarding Group,EXPOTEL HOTEL RESERVATIONS LTD,Commercial,Costs related to staff travel expenses for official duty,4000073979,1387.56
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Children Young People and Families Safeguarding Group,BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,46.02
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000075972,133
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Children Young People and Families Early Years Extended Schools and Special Needs Group,BT,Commercial,"Costs related to telecommunications including telephone cards, line rental and equipment, cost of maintenance, etc",4000075174,118.94
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,ICT,Children Young People and Families Early Years Extended Schools and Special Needs Group,BT,Commercial,Costs related to fixed and mobile telecoms including equipment and call charges,4000075174,3.72
Department for Education,DEPARTMENT FOR EDUCATION,06/03/2012,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Commercial,Costs related to staff travel expenses for official duty,4000073483,527.12
