Department Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Transaction Description,Amount
HM Treasury,HM Treasury,25-Apr-2012,BUSINESS & INTERNATIONAL TAX,Equitable Life,DELOITTE MCS LTD,98365,COST FOR PROFESSIONAL SERVICES FOR THE DESIGN OF THE EQUITABLE LIFE PAYMENT SCHEME - MARCH 2012,"59,531.31"
HM Treasury,HM Treasury,03-Apr-2012,BUSINESS & INTERNATIONAL TAX,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,97948,DEVELOPMENT AND IMPLEMENTATION OF THE PAYMENT SYSTEM FOR THE EQUITABLE LIFE PAYMENT SCHEME - JANUARY 2012,"439,786.08"
HM Treasury,HM Treasury,03-Apr-2012,BUSINESS & INTERNATIONAL TAX,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,97947,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME - JANUARY 2012,"526,612.09"
HM Treasury,HM Treasury,17-Apr-2012,BUSINESS & INTERNATIONAL TAX,Business & International Tax,OECD,98172,OECD GLOBAL FORUM ON TRANSPARENCY AND EXCHANGE OF INFORMATION FOR UK TAX CONTRIBUTION PURPOSES. THIS COST COVERS CALENDER YEAR 2012,"70,717.23"
HM Treasury,HM Treasury,25-Apr-2012,BUSINESS & INTERNATIONAL TAX,Equitable Life,TOWERS WATSON,98373,ACTURIAL SUPPORT TO HM TREASURY IN RESPECT OF THE EQUITABLE LIFE PAYMENT SCHEME - MARCH 2012,"124,261.96"
HM Treasury,HM Treasury,25-Apr-2012,CORPORATE CENTRE ,Hmt Suspense,BARCLAYCARD COMMERCIAL ,98352,PURCHASING CARD STATEMENT - APRIL 2012,"41,331.00"
HM Treasury,HM Treasury,27-Apr-2012,CORPORATE CENTRE ,IS Retained Services,BT PLC,97792,BT LINE RENTAL AND CALL CHARGES - JANUARY 2012 TO MARCH 2012,"25,766.85"
HM Treasury,HM Treasury,18-Apr-2012,CORPORATE CENTRE ,HR Central Services,CABINET OFFICE ,98017,HM TREASURY FAST STREAM CENTRAL PROGRAMME INTAKE FOR 2011/12 ,"23,750.00"
HM Treasury,HM Treasury,25-Apr-2012,CORPORATE CENTRE ,Estates,DTZ,98158,QUARTERLY EXPENDITURE FOR THE RENT & SERVICE CHARGES FOR ROSEBERY COURT- 1 JANUARY 2012 TO 31 MARCH 2012  ,"27,935.82"
HM Treasury,HM Treasury,27-Apr-2012,CORPORATE CENTRE ,HR Central Services,EDENRED (FORMERLY ACCOR SERVICES),98140,QUARTERLY COST FOR ELECTRONIC CHILDCARE VOUCHERS - MAY 2012 TO JULY 2012,"62,939.18"
HM Treasury,HM Treasury,05-Apr-2012,CORPORATE CENTRE ,Estates,EDF ENERGY,98016,ELECTRICITY - MARCH 2012,"42,684.15"
HM Treasury,HM Treasury,12-Apr-2012,CORPORATE CENTRE ,Estates,EXCHEQUER PARTNERSHIP PLC,98019,UNITARY PAYMENT - APRIL 2012,"1,641,008.00"
HM Treasury,HM Treasury,03-Apr-2012,CORPORATE CENTRE ,Workspace Optimisation (Project),EXCHEQUER PARTNERSHIP PLC,97888,WORKSPACE OPTIMISATION PROJECT,"49,709.16"
HM Treasury,HM Treasury,05-Apr-2012,CORPORATE CENTRE ,Workspace Optimisation (Project),EXCHEQUER PARTNERSHIP PLC,97889,WORKSPACE OPTIMISATION PROJECT,"101,491.43"
HM Treasury,HM Treasury,03-Apr-2012,CORPORATE CENTRE ,Workspace Optimisation (Project),EXCHEQUER PARTNERSHIP PLC,97891,WORKSPACE OPTIMISATION PROJECT,"131,873.16"
HM Treasury,HM Treasury,18-Apr-2012,CORPORATE CENTRE ,Workspace Optimisation (Project),EXCHEQUER PARTNERSHIP PLC,98211,WORKSPACE OPTIMISATION PROJECT,"281,916.42"
HM Treasury,HM Treasury,18-Apr-2012,CORPORATE CENTRE ,Workspace Optimisation (Project),EXCHEQUER PARTNERSHIP PLC,98210,WORKSPACE OPTIMISATION PROJECT,"1,770,627.50"
HM Treasury,HM Treasury,05-Apr-2012,CORPORATE CENTRE ,Estates,FUJITSU SERVICES LIMITED,98013,PURCHASE OF IT EQUIPMENT,"96,527.01"
