Department,Entity,Date,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,DEFRA,22/05/2015,Animal and Plant Health Agency,ERS-557807-52254,"26,915.25",Development of enhanced methods for outbreak investigation and source attribution of Salmonella - 2015-16,KT15 3NB,SME,,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Animal and Plant Health Agency,5000059716,"2,588,000.00",Plant and Bee Health core delivery - March 2015,YO1 7PX,SME,EXEMPT,00000000,Expense,,
DEFRA,DEFRA,05/05/2015,Animal and Plant Health Agency,5000059696,"1,456,803.00","Legal fees, Depreciation, Shared Services, IT and Estates provision - 2014-15",YO1 7PX,SME,EXEMPT,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,Animal and Plant Health Agency,5000060321,"417,301.72",Egg Marketing Policy Outcome Based Requirement Plan - February 2015,YO1 7PX,SME,,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Animal and Plant Health Agency,ERS-557814-52256,"104,700.20",Transmissible Spongiform Encephalopathy strategic competencies - April-May 2015,KT15 3NB,SME,EXEMPT,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Animal and Plant Health Agency,ERS-557800-52249,"33,636.33",Improving Classical Swine Fever Virus (CSFV) control through enhanced diagnostic and intervention tools - May 2015 ,KT15 3NB,SME,DFP,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Animal and Plant Health Agency,ERS-557801-52250,"28,953.00",Research and development towards novel field-based approaches to the diagnosis of Bovine Tuberculosis in badgers - May 2015,KT15 3NB,SME,,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Animal and Plant Health Agency,ERS-557813-52255,"27,001.16",Development of an oral fertility control product for badgers - April-May 2015,KT15 3NB,SME,DFP,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Animal Health and Veterinary Laboratories Agency,ERS-557784-52227,"38,108.00",Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - May 2015,KT15 3NB,SME,DFP,00000000,Expense,,
DEFRA,DEFRA,27/05/2015,Animal Health and Veterinary Laboratories Agency,5000063036,"77,196.55",Fallen stock sampling fee - March 2015,YO1 7PX,SME,DFP Funding,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Animal Health and Veterinary Laboratories Agency,ERS-557775-52222,"106,544.00",Continued vaccine development: Improving Bacillus Calmette–Guérin (BCG) and developing non-sensitising vaccines for cattle - May 2015 ,KT15 3NB,SME,SE3266,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Animal Health and Veterinary Laboratories Agency,ERS-557777-52223,"60,211.00","Antigen mining, Differentiation of Infected and Vaccinated Animals assays and other diagnostic approaches - December 2014",KT15 3NB,SME,Exempt,00000000,Expense,,
DEFRA,DEFRA,22/05/2015,Animal Health and Veterinary Laboratories Agency,ERS-557815-52228,"68,671.00","Antigen mining, Differentiation of Infected and Vaccinated Animals assays and other diagnostic approaches - February 2015",KT15 3NB,SME,Exempt,00000000,Expense,,
