Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,07/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP078124,28016.2,Improving the sustainability of phosphorus use in arable farming - 2014-15,WV9 5AP,,Exempt,SFFS0006,Expense,
DEFRA,01/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP078054,41639.63,"Sustainable Crop and Environment Protection, Targeted Research for Edibles - 2014-15",WV9 5AP,,exempt,SFFS0006,Expense,
DEFRA,29/08/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Albion Manufacturing,1755,28433.59,Provision of Bovine Tuberculosis Cage-traps - 2014 ,NR18 9AU,SME,21326,BCP00001,Expense,
DEFRA,19/08/2014,Water,Chief Operating Officer DG,Anglian Water,100014731559,57089.22,"Water bill - Fisheries Laboratory, Lowestoft - 25 January-25 July 2014",PE29 3NZ,,,B0940000,Expense,
DEFRA,22/08/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-544106-49659,98370,Development of an oral Bacille Calmette Guerin vaccine for badgers - regulatory component - 2013-14,KT15 3NB,SME,IGS,0,Expense,
DEFRA,22/08/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-544108-49645,61168.66,"Antigen mining, Differentiation of Infected and Vaccinated Animals assays and other diagnostic approaches - August 2014",KT15 3NB,SME,Exempt,0,Expense,
DEFRA,22/08/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-543732-49613,87874,Continued vaccine development: Improving BCG and developing non-sensitising vaccines for cattle - 2014-15 ,KT15 3NB,SME,SE3266,0,Expense,
DEFRA,22/08/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-544112-49647,31257.08,Review and preliminary assessment of alternative badger control methods,KT15 3NB,SME,SE3274,0,Expense,
DEFRA,22/08/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-544107-49660,75180,Development of an oral Bacille Calmette Guerin (BCG) vaccine for badgers - research component - 2014-15,KT15 3NB,SME,,0,Expense,
DEFRA,05/08/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000046452,350000,Seedcorn allocation - Research and Development - 2014-15,YO1 7PX,SME,DFP,0,Expense,
DEFRA,22/08/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-544135-49654,56575,Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - 2014-15,KT15 3NB,SME,DFP,0,Expense,
DEFRA,15/08/2014,Prog - Admin Costs - FLS Office Services Consultancy,Policy Delivery DG,Ashurst LLP,372740,188476.79,Provision of commercial legal advice in respect of the Thames Tideway Tunnel project - 28 June-25 July 2014,EC2A 2HA,,20238,0,Expense,
DEFRA,19/08/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",B B S R C,BBSR11912,26767.89,Development of Rationally Attenuated live Vaccines for Effective Control of Infectious Bronchitis - 2014 Quarter 1,SN2 1UH,,Exempt,0,Expense,
DEFRA,05/08/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Best Foot Forward Ltd,101518,34413,Evaluation of EU Food Information to Consumers - business and consumer survey final report - 2014-15,OX4 1RE,SME,FA0132,SFFS0003,Expense,
