Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Expenditure Description,Supplier Type,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,TRAFFORD MB COUNCIL,Current grant paid to local authorities within the aggregate external funding total,Public Sector,4000066829,37500
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,LONDON BOROUGH OF CROYDON COUNCIL,Current grant paid to local authorities,Public Sector,4000066813,50250
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE FAMILY FUND TRUST,"Current grant to third sector organisation / not for profit organisation.
Specifically for the management of the Special Educational Needs grant programme and funding on behalf of the Department.",VCS,4000066826,2106000
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NATIONAL DEAF CHILDRENS SOCIETY,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000066817,36443
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,DfE Programme Costs,Families Group,NATIONAL TREATMENT AGENCY,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for production of guidance for children and family services on how to identify and respond to child protection issues where there is parental substance misuse. ",Public Sector,4000066818,37500
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Families Group,YMCA,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000066835,51532
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Children Young People and Families Directorate,GROUNDWORK UK,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000066805,159430.65
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Children Young People and Families Directorate,MEDIA TRUST,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000066815,71852.1
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Children Young People and Families Directorate,UK YOUTH,"Current grant to third sector organisation / not for profit organisation.
Part of the Voluntary and Community Organisations £60m grant. ",VCS,4000066832,31616.22
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Miscellaneous Expenditure,Chief Information Officer Group,CAPGEMINI UK PLC,"Capital licences and Intangible work in progress.
Specifically for Arms Length Body transition support ",Commercial,4000066791,416462.8
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Curriculum and Behaviour Group,CSABT LIMITED MUSIC & DANCE SCHEME,"Current grant to third sector organisation / not for profit organisation.
Specifically the Music and Dance Scheme",Public Sector,4000066794,4908150
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Capital Grants,Education Funding Group,FOLKESTONE PRIMARY ACADEMY,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector,4000066803,34808.62
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,STROOD ACADEMY,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066825,100514.21
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,THE REDHILL ACADEMY,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066828,140877.35
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2011,Current Grants,Academies Delivery Group,BEIS YAAKOV HIGH SCHOOL FOR GIRLS,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",Public Sector,4000066789,25000
