Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Defra,Defra,06/10/2014,Grant-in Aid Payments,Policy Delivery DG,Environment Agency,EACPFGIAOCT14,37498000,2014-15 Grant in aid - closed pension fund - second instalment,BS1 5AH,,DFP,0,Expense
Defra,Defra,28/10/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8004157,50242,Discards survivability - Interim report,NR33 0HT,SME,MF1234,0,Expense
Defra,Defra,28/10/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000044812,224735,Exotic diseases - Surveillance scanning - March 2014,YO1 7PX,SME,IGS,0,Expense
Defra,Defra,28/10/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000044727,591573.34,Requirements Plan: England - Exotic diseases final invoice - 2013-14,YO1 7PX,SME,IGS,0,Expense
Defra,Defra,28/10/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048639,25013.21,Transmissible Spongiform Encephalopathy - Field Services - August 2014,KT15 3NB,SME,IGS,0,Expense
Defra,Defra,14/10/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047992,95152.76,Transmissible Spongiform Encephalopathy - Field Services - April-June 2014,KT15 3NB,SME,IGS,0,Expense
Defra,Defra,14/10/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048032,52731.07,Transmissible Spongiform Encephalopathy - Field Services - July 2014,KT15 3NB,SME,IGS,0,Expense
Defra,Defra,28/10/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049607,150826.41,Transmissible Spongiform Encephalopathy surveillance - September 2014,KT15 3NB,SME,Funding DFP,0,Expense
Defra,Defra,06/10/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048034,118017.51,Wildlife Licensing Registration Service - 2014-15,KT15 3NB,SME,IGS,0,Expense
Defra,Defra,28/10/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000044809,2243213.08,"Core facility services service level agreement providing scientific facilities capital charges and common services for the former Veterinary Laboratories Agency estates, not covered in other service level agreements - March 2014",YO1 7PX,SME,DFP,0,Expense
Defra,Defra,06/10/2014,AR Refunds,Chief Operating Officer DG,Centre For Ecology & Hydrology,260914,121530,Payment returned to Centre for Ecology and Hydrology as they simultaneously provided both a credit note and a refund payment to Defra in error,SN2 1EU,SME,,0,Asset
Defra,Defra,08/10/2014,Current Grants E,Policy Delivery DG,Chilterns Conservation Board,170914,103217,2014-15 Area of Outstanding Natural Beauty Grant - October-December 2014,OX39 4HA,SME,GIA,CHILTERN,Expense
Defra,Defra,20/10/2014,Evidence Non R&D,Policy Delivery DG,Department Of Energy and Climate Change,1100019109,26042,2014-15 England annual contribution towards the costs of the UK Adaptation Sub Committee - September 2014,SW1A 2HD,SME,IGS,ADAPTASC,Expense
Defra,Defra,14/10/2014,Evidence Non R&D,Policy Delivery DG,Department Of Energy and Climate Change,1100018362,50807,2014-15 England annual contribution towards the costs of the UK Adaptation Sub Committee - September 2014,SW1A 2HD,SME,IGS,ADAPTASC,Expense
Defra,Defra,06/10/2014,Grant-in Aid Payments,Policy Delivery DG,Environment Agency,EAGIAOCTOBER14,90000000,2014-15 Flood and non flood Grant in aid - October 2014,BS1 5AH,,DFP,0,Expense
Defra,Defra,08/10/2014,Current Grants E,Policy Delivery DG,Exmoor National Park Authority,260914,763000,2014-15 National Parks Grant - Quarter 3,TA22 9HL,SME,GIA,EXMOOR01,Expense
Defra,Defra,08/10/2014,Other Current Payments E,Policy Delivery DG,Acre.,6132,578000,Investment plan - 2014-15 Quarter 3,GL7 2QY,,Funding,0,Expense
Defra,Defra,30/10/2014,Current Grants E,"Strategy, International and Biosecurity DG",L T S International Ltd,2449,54323.53,Administration of the Darwin Initiative Grant Scheme - September 2014,EH26 0PH,SME,20211,0,Expense
Defra,Defra,30/10/2014,Other Current Payments E,Chief Operating Officer DG,Getmapping Plc,DEFRA006,94500,Aerial photography and height data - October 2014,RG27 8NW,SME,20041,AERPHOTO,Expense
Defra,Defra,06/10/2014,Consultancy Non-Scheme,Chief Operating Officer DG,Cabinet Office,250010393,128239,Agreed contribution towards the costs to be incurred by Cabinet Office for delivery of phase 1 of the Single Operating Platform project  ,CF14 3UW,,IGS/19572,0,Expense
Defra,Defra,28/10/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048631,73117.85,Field Services - Animal by-products - August 2014,KT15 3NB,SME,IGS,0,Expense
Defra,Defra,14/10/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048026,297938.7,Animal by-products - July 2014,KT15 3NB,SME,IGS,0,Expense
Defra,Defra,14/10/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047986,521678.63,Field Services - Animal by-products - April-June 2014,KT15 3NB,SME,IGS,0,Expense
Defra,Defra,30/10/2014,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00036005,44879.99,Animal Health and Veterinary Laboratories Agency Weybridge - Continuous Emissions monitoring equipment ,BS32 4NH,,10195L,FMR1314R,Asset
Defra,Defra,28/10/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048640,199730.29,Animal Welfare inspections - 2014-15,KT15 3NB,SME,DFP,0,Expense
Defra,Defra,06/10/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048033,300712.41,Animal Welfare Inspections - 2014-15,KT15 3NB,SME,DFP,0,Expense
Defra,Defra,20/10/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000044732,322426.18,Animal Welfare Inspections - 2013-14,KT15 3NB,SME,DFP,0,Expense
Defra,Defra,24/10/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-546803-50265,61168.66,"Antigen mining, Differentiation of Infected and Vaccinated Animals assays and other diagnostic approaches - October 2014",KT15 3NB,SME,Exempt,0,Expense
Defra,Defra,28/10/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",C E F A S,8004275,247431,Aquatic Health - October 2014,NR33 0HT,SME,DFP FUNDING,0,Expense
Defra,Defra,28/10/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",C E F A S,8004274,61644.66,Aquatics evidence - October 2014,NR33 0HT,SME,DFP,0,Expense
Defra,Defra,10/10/2014,Current Grants E,"Strategy, International and Biosecurity DG",Ascension Island Government,190914,38666.25,Ascension Island Marine Sustainability (AIMS) - a fisheries and marine biodiversity project - October-December 2014,ASCN 1ZZ,,Grant,DARWPLUS,Expense
Defra,Defra,14/10/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047988,1065432.5,Inspections of live animal consignments at Border controls - April-June 2014,KT15 3NB,SME,Funding DFP,0,Expense
Defra,Defra,14/10/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048028,719933.73,Inspections of live animal consignments at Border controls - July 2014,KT15 3NB,SME,Funding DFP,0,Expense
Defra,Defra,28/10/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048633,68233.67,Inspections of live animal consignments at Border controls - August 2014,KT15 3NB,SME,Funding DFP,0,Expense
Defra,Defra,10/10/2014,Evidence Non R&D,Policy Delivery DG,Kynetec Ltd,8373004454,112262.4,British survey of fertiliser practice - 2014,RG20 8JE,SME,14262,FCAG0003,Expense
Defra,Defra,22/10/2014,Current Grants E,"Strategy, International and Biosecurity DG",Fauna & Flora International,230914,25367.5,Building capacity for participatory ecosystem-based marine conservation in Central America - October- December 2014,CB1 2JD,SME,exempt,DARWDFID,Expense
Defra,Defra,30/10/2014,Evidence Non R&D,Policy Delivery DG,Bureau Veritas UK Ltd,14016969,168249,Central Management and Control Unit (CMCU) Automatic Urban and Rural Network - October 2014,SE1 2TX,,AQ0631,AQNONRDX,Expense
Defra,Defra,28/10/2014,Office Eqpt Hire,Chief Operating Officer DG,Xerox (UK) Ltd,1603487076,26533.99,Charges for the rental of a colour photocopier and copies made up to 6 March 2015,UB8 1HS,,10022,B1960000,Expense
Defra,Defra,10/10/2014,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260005427,53424,Common Agricultural Policy Delivery - additional Payroll testing to compare with historic payroll system,SE1 2AP,SME,CAP206,CAPDFA03,Expense
Defra,Defra,10/10/2014,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260005354,33065.49,Common Agricultural Policy Delivery - additional testing work,SE1 2AP,SME,CAP195,CAPDFA03,Expense
Defra,Defra,08/10/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Cranfield University,1408993,25002,"Comparative assessment of the sustainability of fresh food produced in England and Wales, to the differing standards of published Assurance Schemes - 2014-15",MK43 0AL,,SCF0305,0,Expense
Defra,Defra,14/10/2014,Evidence Non R&D,Policy Delivery DG,Health & Safety Commission & Executive,139063,1026727.25,Competent authority delegated functions for Plant Protection Products and Detergents - 2014-15 Quarter 3,L20 3LZ,,MOU EXEMPT,0,Expense
Defra,Defra,22/10/2014,Current Grants E,"Strategy, International and Biosecurity DG",Fauna & Flora International,240914,27049,Conservation of the newly-discovered Burmese (Myanmar) snub-nosed monkey - October-December 2014 ,CB1 2JD,SME,Exempt,DARWINXX,Expense
Defra,Defra,30/10/2014,Capital Grants to Companies UK,Policy Delivery DG,Hampshire Police Authority,P0032217,34000,Contribution to National Wildlife Crime Unit - October-December 2014,SO22 5DB,,21307,0,Expense
Defra,Defra,22/10/2014,Current Grants E,"Strategy, International and Biosecurity DG",Zoological Society Of London,290914,27759.5,Darwin Grant for Community-based conservation for livelihood development in Lake Ossa Manatee Reserve - October-December 2014,NW1 4RY,,21110,DARWDFID,Expense
Defra,Defra,22/10/2014,Current Grants E,"Strategy, International and Biosecurity DG",Zoological Society Of London,2.50914E+12,27759.5,Darwin Grant for Community-based conservation for livelihood development in Lake Ossa Manatee Reserve - July-September 2014,NW1 4RY,,21110,DARWDFID,Expense
Defra,Defra,22/10/2014,Current Grants E,"Strategy, International and Biosecurity DG",Zoological Society Of London,250914,28451.75,Darwin Grant for Eels: a flagship species for freshwater conservation - July-September 2014,NW1 4RY,,21113,DARWDFID,Expense
Defra,Defra,22/10/2014,Current Grants E,"Strategy, International and Biosecurity DG",Zoological Society Of London,2.90914E+12,28451.75,Darwin Grant for Eels: a flagship species for freshwater conservation - October-December 2014,NW1 4RY,,21113,DARWDFID,Expense
Defra,Defra,10/10/2014,Current Grants E,"Strategy, International and Biosecurity DG",International Inst For Env & Dev,1.50914E+12,32815.25,Darwin Initiative Grant - Building capacity for pro-poor responses to wildlife crime in Uganda - October-December 2014,WC1X 8NH,SME,Grant/21063,IWTXXXXX,Expense
Defra,Defra,10/10/2014,Current Grants E,"Strategy, International and Biosecurity DG",International Inst For Env & Dev,1.50914E+12,28325.25,Darwin Initiative Grant - Social assessment of protected areas - October-December 2014,WC1X 8NH,SME,20060,DARWDFID,Expense
Defra,Defra,14/10/2014,Current Grants E,"Strategy, International and Biosecurity DG",C E F A S,190914,45410.25,Darwin Initiative Payment - 2014-15 Quarter 3,NR33 0HT,SME,20598/DFP/GRANT,DARWPLUS,Expense
Defra,Defra,28/10/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048638,2431872.93,Programme Service Level Agreement 2014-15 Policy Outcome Based Requirement Plan to gain officially Bovine Tuberculosis Free status for England by 2038 - August 2014,KT15 3NB,SME,DFP,AHVLA001,Expense
Defra,Defra,06/10/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047991,15500761.85,Programme Service Level Agreement 2014-15 Policy Outcome Based Requirement Plan to gain officially Bovine Tuberculosis Free  status for England by 2038 - April-June 2014,KT15 3NB,SME,DFP,AHVLA001,Expense
Defra,Defra,14/10/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048031,6308189.56,Programme Service Level Agreement 2014-15 Policy Outcome Based Requirement Plan to gain officially Bovine Tuberculosis Free status for England by 2038 - July 2014,KT15 3NB,SME,DFP,AHVLA001,Expense
Defra,Defra,20/10/2014,Contractor - Management Cover,Chief Operating Officer DG,Deloitte & Touche,2410081668,88839,Deloitte secondment for specialist support with business analysis and implementation planning to the Common Agricultural Policy Delivery - Charges for three members of staff - August 2014,MK9 1FD,,CAP219,CAPDTA00,Expense
Defra,Defra,20/10/2014,Contractor - Management Cover,Chief Operating Officer DG,Deloitte & Touche,2410082815,100254,Deloitte secondment for specialist support with business analysis and implementation planning to the Common Agricultural Policy Delivery - Charges for three members of staff - September 2014,MK9 1FD,,CAP219,CAPDTA00,Expense
Defra,Defra,14/10/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Cranfield University,1402544,26709.89,"Developing precision irrigation for field scale vegetable production, linking in-field moisture sensing, wireless networks and variable rate application technology - July-September 2013",MK43 0AL,,exempt,SFFS0004,Expense
Defra,Defra,14/10/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Centre For Ecology & Hydrology,7060006723,73882.89,Development of a UK Knowledge Exchange Network between ecosystems demonstrator projects and their interest groups,OX10 8BB,SME,NR0148,0,Expense
