Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
DEFRA,AHDB,31/03/2015,,,AbacusBio Limited,7412,33440.00,English Beef and Lamb Executive's Review of the genetic improvement of beef cattle and sheep in the UK,PO Box 5585,,,,
DEFRA,AHDB,06/03/2015,,,Assured Food Standards,9811,63750.00,Data services - Service Level Agreement charge - 2014-15 Quarter 1,SE1 0NZ,,,,
DEFRA,AHDB,13/03/2015,,,Assured Food Standards,10030,63750.00,Data services - Service Level Agreement charge - 2014-15 Quarter 4,SE1 0NZ,,,,
DEFRA,AHDB,20/03/2015,,,Beattie McGuinness Bungay London LLP,10408200,25569.01,Marketing - Pulled Pork campaign TV shoot production costs (Approved spend under Cabinet Office Marketing and Advertising Spending Controls),WC2H 9AU,,,,
DEFRA,AHDB,20/03/2015,,,Duchy College,SINV/00003836,27273.50,Skills Training - Health and Welfare in sheep and cattle,TR14 0AB,,,,
DEFRA,AHDB,27/03/2015,,,East Malling Research,12949,25540.00,Solutions for the mushroom industry for emerging disease threats from Trichoderma and Virus - May 2014-March 2015,ME19 6BJ,,,,
DEFRA,AHDB,26/03/2015,,,East Malling Research,12726,30060.00,Understanding and developing methods for managing spotted wing drosophila (SWD) in the UK - January-March 2015,ME19 6BJ,,,,
DEFRA,AHDB,26/03/2015,,,Mylnefield Research Service,SLINV/00002098,109500.00,Raspberry Breeding Consortium fee year one - 2014-15 ,DD2 5DA,,,,
DEFRA,AHDB,20/03/2015,,,NIAB,NI9280,30614.16,Home Grown Cereal Authority Pathology trials - second instalment,CB3 OLE,,,,
DEFRA,AHDB,20/03/2015,,,NIAB,NI9279,48672.59,Home Grown Cereal Authority Main Recommended List Trials - second instalment,CB3 OLE,,,,
DEFRA,AHDB,17/03/2015,,,TEAGASC,0000917108,33362.34,Solutions for the mushroom industry to emerging disease threats from Trichoderma and Virus,,,,,
DEFRA,AHDB,26/03/2015,,,The Dairy Council,11612,65000.00,Dairy Crisis activity - 'milk race 2015' participation and support package,WC1V 7EP,,,,
DEFRA,AHDB,20/03/2015,,,Traineast Ltd,RDPE/23-10,75101.25,Skills Training - Arable Training - Advanced Management and Advanced Technical,PE33 9AY,,,,
DEFRA,Cefas,05/03/2015,Assets Under Construction,Aquatic Health & Hygiene,Agilent Technologies LDA UK Limited,20073260,67413.79,Replacement of existing High (or Ultra) Performance Liquid Chromatograph,SK8 3GR,STAN,,66400,Assets Under Construction
DEFRA,Cefas,12/03/2015,Data Collection Services,Aquatic Health & Hygiene,BRUNEL UNIVERSITY,20073440,38000.00,Provision of objective data on the quality of published scientific evidence on Ecotoxicology Research ,UB8 3PH,STAN,,C1335,Data Collection Services
DEFRA,Cefas,03/03/2015,Facilities Management,Corporate,Capita Property & Infrastructure,20066050,212713.28,Lowestoft Laboratory facilities management charges - April-May 2014,EC2V 7NQ,PB,,50100,Facilities Management
DEFRA,Cefas,03/03/2015,Facilities Management,Corporate,Capita Property & Infrastructure,20066054,55700.31,Weymouth Laboratory facilities management charges - June 2014,EC2V 7NQ,PB,,50100,Facilities Management
DEFRA,Cefas,03/03/2015,Facilities Management,Corporate,Capita Property & Infrastructure,20066057,106356.64,Lowestoft Laboratory facilities management charges - June 2014,EC2V 7NQ,PB,,50100,Facilities Management
