Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number
Defra,JNCC,16/10/2012,CONTRACTED OUT CONSERVATION SERVICES,Surveillance and monitoring,NATURAL ENVIRONMENT RESEARCH COUNCIL,7080,"30,000.00",UK Butterfly monitoring,SN2 1EU,Large,A10-0060-0368,100,Administration,
Defra,JNCC,16/10/2012,CONTRACTED OUT CONSERVATION SERVICES,Surveillance and monitoring,NATURAL ENVIRONMENT RESEARCH COUNCIL,7081,"88,500.00",Biological recording analysis & interpretation,SN2 1EU,Large,A11-0030-0449,100,Administration,
Defra,AHDB,19/10/2012,Invoice,,SAC Commercial Limited,20452855,"76,250.00",Genetic Evaluations Operational Services 1 July to 28 September  2012,EH9 3JG,SAC Commercial Limited,,,,GB435882817
Defra,AHDB,19/10/2012,Invoice,,SAC Commercial Limited,20452955,"30,059.00","Research Proposal Grasslands, Forage and Soil September Payment",EH9 3JG,SAC Commercial Limited,,,,GB435882818
Defra,AHDB,19/10/2012,Invoice,,Reaseheath,5403,"25,000.00",Stage 1 of Lean Management for Dairy Farming Project,CW5 6DF,Reaseheath College,,,,625021777
Defra,AHDB,19/10/2012,Invoice,,TLR,BPEX/077,"25,550.46","Hosting, licencing and support for eAML2 from October 1 2012 to December 31 2012",AL1 3AF,TLR,,,,600511996
Defra,AHDB,29/10/2012,Invoice,,Clarion Communications (PR) Limited,46659,"25,950.00",Many Faces of Potato August 2012  - Management fees,EC1R 5AR,Clarion,,,,GB839733978
Defra,AHDB,01/10/2012,Invoice,,i.s.Media Ltd,3646,"26,526.90","Dairy event, South West Show, Agricscot",BS3 3HB,i.s.Media Ltd,,,,736582312
Defra,AHDB,04/10/2012,Invoice,,Symbiosis (UK) Limited,1568,"29,000.00",Potato Europe 2012 Stand design and build,,Symbiosis (UK) Limited,,,,810330782
Defra,AHDB,29/10/2012,Invoice,,Clarion Communications (PR) Limited,46661,"29,932.00",Many Faces of Potatoes September 2012 - Management fees,,Clarion Communications (PR) Limited,,,,GB839733978
Defra,AHDB,12/10/2012,Invoice,,Aberystwyth University,20011609,"31,034.00",Defra project FO0303 Plant based strategies to improve the nutritional value of beef for the consumers (probeef) January to March,SY23 3FB,Aberystwyth University,,,,
Defra,AHDB,04/10/2012,Invoice,,Beattie McGuiness Bungay,10405768,"67,323.04",2nd 50% payment for Simple Pleasures TV Production,WC2H 9AU,Beattie McGuiness Bungay,,,,
Defra,AHDB,29/10/2012,Invoice,,Media Planning Limited,1003448,"70,000.00",Eblex Division Advertising space for Simply Pleasures campaign,WC2N 4JS,Media Planning Limited,,,,
