"Invoices by Value with PO Details   Report Name : DH-AP-010-Invoices by Value  Parameter : GL Date Start : '01/06/2015' , GL Date End : '30/06/2015' , Min Invoice Amount : '25000' , Max Invoice Amount : 'ALL' , Include Recoverable VAT : 'N'                       Date : 01/07/2015 11.24.47 AM",,,,,,,,,,,,,
,,,,,,,,,,,,,
Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,22/06/2015,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-18521,"5,000,000.00",,L9 7AL,PUBLIC,,,
Department of Health,Department of Health,24/06/2015,Service charge,DG: IGT,CSC COMPUTER SCIENCES LTD,5201409299,"7,161,801.44",Revenue: 2015/16 LSP NME CSC - Non Lorenzo,PR1 8UQ,LARGE,,,
Department of Health,Department of Health,22/06/2015,Service charge,DG: IGT,BT GROUP PLC,384816,"6,724,895.36",Revenue: 2015/16 N3 Services Core Contract to cover spend for services due for payment up to and including March 2016,NW9 6LB,LARGE,,,
Department of Health,Department of Health,22/06/2015,Service charge,DG: IGT,BT GROUP PLC,386862,"3,630,065.19",Revenue: 2015/16 LSP London Bt,NW9 6LB,LARGE,,,
Department of Health,Department of Health,02/06/2015,Addition Clearing - SW LIC,DG: IGT,CSC COMPUTER SCIENCES LTD,5201409313,"3,456,917.10",Capital: LSP NME CSC - F/Y 2014/15 - Lorenzo Deployment. Capital cash requirements (committed costs only),PR1 8UQ,LARGE,,,
Department of Health,Department of Health,01/06/2015,Radio communications,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-426,"3,185,746.57",,SL1 2EJ,LARGE,,,
Department of Health,Department of Health,24/06/2015,Service charge,DG: IGT,BT GROUP PLC,386873,"2,707,271.64",Revenue 2015/16 LSP South BT,NW9 6LB,LARGE,,,
Department of Health,Department of Health,30/06/2015,Outsourcing Contract,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,CHAPS,"2,591,066.57",April 15 - March 16 Core Service Charges,SL1 2EJ,LARGE,,,
Department of Health,Department of Health,02/06/2015,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011847,"2,307,043.85",FY15/16 Monthly Service Charges,CV34 6NZ,LARGE,,,
Department of Health,Department of Health,02/06/2015,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011931,"2,306,194.24",FY15/16 Monthly Service Charges,CV34 6NZ,LARGE,,,
Department of Health,Department of Health,09/06/2015,Addition Clearing - SW LIC,DG: IGT,IN PRACTICE SYSTEMS LTD,417266,"1,950,589.04",Capital: F/Y 2014/15 GPSoC INPS - Software Licence Charges,SW8 3QJ,LARGE,,,
Department of Health,Department of Health,08/06/2015,Service charge,DG: IGT,EGTON MEDICAL INFORMATION SYSTEMS LTD,IN89899-1,"1,806,864.37",Revenue: 2015/16 GPSoC Revenue charges  01.04.2015 to 31.03.2016: System support charges Training Charges Utilisation charges Interface Mechanism charges Pairing Assurance service charges Development charges Hosting service char,LS19 7BY,LARGE,,,
Department of Health,Department of Health,08/06/2015,Service charge,DG: IGT,EGTON MEDICAL INFORMATION SYSTEMS LTD,IN89900-1,"1,804,252.37",Revenue: 2015/16 GPSoC Revenue charges  01.04.2015 to 31.03.2016: System support charges Training Charges Utilisation charges Interface Mechanism charges Pairing Assurance service charges Development charges Hosting service char,LS19 7BY,LARGE,,,
Department of Health,Department of Health,01/06/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-18479,"4,834,189,000.00",,LS2 7UE,PUBLIC,,,
Department of Health,Department of Health,12/06/2015,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,LONDON AND REGIONAL PROPERTIES LTD,19464624/06/2015-23/09/2015,"1,511,906.00",Skipton House - Accommodation Rent -  Property Ref:194646,W1U 7DA,LARGE,,,
Department of Health,Department of Health,09/06/2015,Service charge,DG: IGT,IN PRACTICE SYSTEMS LTD,417266,"1,458,880.70","Revenue: inPS GPSoC - Revenue charges for the period 01/04/2014  to 31/03/2015 - System support charges,Training charges, Hosting service charges,Utilisation charges",SW8 3QJ,LARGE,,,
Department of Health,Department of Health,01/06/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-18478,"3,469,606,000.00",,LS2 7UE,PUBLIC,,,
