Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount
DEPARTMENT FOR EDUCATION,TEACHERS PENSION SCHEME,01/07/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP HSBC,1000223,218032.38
DEPARTMENT FOR EDUCATION,TEACHERS PENSION SCHEME,01/07/2010,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group - TPS,CAPITA TP NATWEST,1000224,20364396.32
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,GRANT IN AID,Children and Families Group,CAFCASS,2000169,9959607
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,GRANT IN AID,Workforce Group Young People Workforce,NATIONAL COLLEGE OF SCHOOL LEADERSHIP,2000170,10000000
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,GRANT IN AID,Workforce Group Young People Workforce,TRAINING & DEVELOPMENT AGENCY FOR SCHOOLS TDA,2000171,2000000
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,GRANT IN AID,Workforce Group Young People Workforce,TRAINING & DEVELOPMENT AGENCY FOR SCHOOLS TDA,2000172,80583198.12
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,GRANT IN AID,14 - 19 Reform Participation and Attainment,YOUNG PEOPLES LEARNING AGENCY,2000173,614009000
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,CONTRACT PROGRAMME EXPENDITURE,School Formation and Investment Group,ACADEMY ENTERPRISE TRUST,4000028627,31255
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,CURRENT GRANTS,14 - 19 Reform Qualification Standards and Reform,BARNSLEY MBC,4000028628,17500
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,CAPITAL GRANTS,Supporting Children and Young People Group Activities and Engagement,BARNSLEY MBC,4000028628,30275
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,CURRENT GRANTS,Supporting Children and Young People Group Activities and Engagement,BARNSLEY MBC,4000028628,70425
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,CAPITAL GRANTS,Supporting Children and Young People Group Activities and Engagement,CALDERDALE MBC,4000028630,26350
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,CURRENT GRANTS,Supporting Children and Young People Group Activities and Engagement,CALDERDALE MBC,4000028630,30500
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,CONTRACT PROGRAMME EXPENDITURE,Workforce Group Young People Workforce,CAPITA BUSINESS SERVICES LTD,4000028631,655961.6
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,CAPITAL GRANTS,Supporting Children and Young People Group Activities and Engagement,DERBYSHIRE COUNTY COUNCIL,4000028635,84625
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/07/2010,CURRENT GRANTS,Supporting Children and Young People Group Activities and Engagement,DERBYSHIRE COUNTY COUNCIL,4000028635,97875
