2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: June 2010,,,,,,,

Department Family,Entity,Date,OGC Master Category,Project Code,Supplier,Transaction Number,Amount
Dept. for Education,QCDA,03/06/2010,Professional Services Learning & Development,Diploma Programme,Amor Business Technology Solutions Ltd,PBAC/00127760,"£98,306.38"
Dept. for Education,QCDA,30/06/2010,Marketing & Media,Diploma Programme,Amor Business Technology Solutions Ltd,PBAC/00128855,"£65,070.20"
Dept. for Education,QCDA,15/06/2010,Professional Services Learning & Development,Corporate Support,Amor Business Technology Solutions Ltd,PBAC/00128140,"£41,314.24"
Dept. for Education,QCDA,24/06/2010,Professional Services Learning & Development,Corporate Support,Amor Business Technology Solutions Ltd,PBAC/00128418,"£38,481.25"
Dept. for Education,QCDA,02/06/2010,Professional Services Temporary Staff,Corporate Support,Axiom Global Limited,PBAC/00127670,"£46,094.08"
Dept. for Education,QCDA,09/06/2010,ICT,Corporate Support,British Telecommunication Plc Telephone,PBAC/00127938,"£54,109.72"
Dept. for Education,QCDA,23/06/2010,Professional Services Temporary Staff,Test Delivery Operations Programme,BSS,PBAC/00128388,"£80,949.70"
Dept. for Education,QCDA,30/06/2010,Professional Services Temporary Staff,Test Delivery Operations Programme,BSS,PBAC/00128869,"£56,399.11"
Dept. for Education,QCDA,02/06/2010,ICT,Diploma Programme,Bytes Software Services Ltd,PBAC/00127732,"£67,170.72"
Dept. for Education,QCDA,08/06/2010,Professional Services Consultancy,Diploma Programme,Cap Gemini UK Plc,PBAC/00127880,"£54,494.89"
Dept. for Education,QCDA,22/06/2010,Travel & Events,Corporate Support,Carlson Wagonlit Travel,PBAC/00128338,"£41,778.69"
Dept. for Education,QCDA,04/06/2010,ICT,Corporate Support,Certes Computing Limited,PBAC/00127792,"£82,842.33"
Dept. for Education,QCDA,29/06/2010,Professional Services Learning & Development,Corporate Support,Chartered Institute Educational Assessor,PBAC/00128542,"£81,250.00"
Dept. for Education,QCDA,11/06/2010,N/A,Corporate Support,Civil Superannuation Vote,PRFT/00001452,"£542,733.59"
Dept. for Education,QCDA,28/06/2010,Marketing & Media,Corporate Support,COI Communications,PRFT/00001458,"£54,892.77"
Dept. for Education,QCDA,11/06/2010,N/A,Corporate Support,Contributions Agency,PRFT/00001451,"£376,419.98"
Dept. for Education,QCDA,24/06/2010,Facilities,Corporate Support,DCSF,PBAC/00128406,"£89,001.41"
Dept. for Education,QCDA,03/06/2010,Professional Services Learning & Development,Test Delivery Operations Programme,DELOITTE LLP,PBAC/00127771,"£128,926.88"
Dept. for Education,QCDA,15/06/2010,Professional Services Other,Corporate Support,DLA Piper (UK) LLP,PBAC/00128124,"£33,838.37"
Dept. for Education,QCDA,08/06/2010,Professional Services Learning & Development,Diploma Programme,EDCOMS LTD,PBAC/00127889,"£76,383.24"
Dept. for Education,QCDA,16/06/2010,Professional Services Learning & Development,Diploma Programme,EDCOMS LTD,PBAC/00128186,"£39,570.52"
Dept. for Education,QCDA,21/06/2010,Professional Services Learning & Development,Test Delivery Operations Programme,Edexcel Ltd,PBAC/00128216,"£1,150,000.00"
Dept. for Education,QCDA,24/06/2010,Professional Services Learning & Development,Test Delivery Operations Programme,Edexcel Ltd,PBAC/00128431,"£188,612.00"
