Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description, Total 
Ministry of Defence,Ministry of Defence,29/11/2013,Purchase of buildings and military equipment ,Defence Equipment & Support,POLAR SHIP INVEST II AS,,3097502,Fiscal asset under construction - capital in year addition,"50,849,825.72"
Ministry of Defence,Ministry of Defence,28/11/2013,Rent and rates,Defence Infrastructure Organisation ,COMMUNITIES AND LOCAL GOVERNMENT,HP2 4XN,2.00E+11,Rent buildings - non civil estate property and married quarter property,"23,356,058.54"
Ministry of Defence,Ministry of Defence,18/11/2013,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,273934,Property dwellings private finance initiative - service concession arrangement service charge,"23,232,431.19"
Ministry of Defence,Ministry of Defence,01/11/2013,Administration,Defence Equipment & Support,H M REVENUE & CUSTOMS,M50 3XN,268045,General administration,"12,722,632.79"
Ministry of Defence,Ministry of Defence,28/11/2013,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,COMPANIA ESPANOLA DE PETROLEOS SA,,2000020744,Raw materials and consumable marine fuel inventory purchased,"11,005,340.66"
Ministry of Defence,Ministry of Defence,18/11/2013,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11227,Monthly GPC payment,"9,789,082.80"
Ministry of Defence,Ministry of Defence,19/11/2013,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11228,Monthly GPC payment,"9,754,118.12"
Ministry of Defence,Ministry of Defence,14/11/2013,Grants in aid,Head Office & Corporate Services,COMMONWEALTH WAR GRAVES COMMISSION,SL6 7DX,5000104363,Pay costs grant in aid to the Commonwealth War Graves commission,"9,145,299.15"
Ministry of Defence,Ministry of Defence,08/11/2013,Payment of utilities,Defence Infrastructure Organisation ,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,270607,Utilities consumed - electricity,"9,020,168.28"
Ministry of Defence,Ministry of Defence,29/11/2013,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,279742,Grant in aid to the council of reserve forces and cadet associations,"8,329,834.00"
Ministry of Defence,Ministry of Defence,12/11/2013,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,271624,Estate core services charge,"8,271,284.36"
Ministry of Defence,Ministry of Defence,08/11/2013,Property leases,Defence Infrastructure Organisation ,MODUS SERVICES LIMITED,SW1A 2HB,270710,Property non dwellings private finance initiative - service concession arrangement service charge,"8,161,716.28"
Ministry of Defence,Ministry of Defence,19/11/2013,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,274664,Estate core services charge,"7,420,824.86"
Ministry of Defence,Ministry of Defence,12/11/2013,Estate management,Defence Infrastructure Organisation ,BABCOCK DYNCORP LIMITED,PE28 2EA,271536,Estate core services charge,"6,480,421.51"
Ministry of Defence,Ministry of Defence,25/11/2013,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,277751,Estate core services charge,"6,004,294.54"
Ministry of Defence,Ministry of Defence,08/11/2013,Property leases,Defence Infrastructure Organisation ,RMPA SERVICES PLC,CO2 7ST,270792,Property dwellings operating lease,"5,900,065.65"
Ministry of Defence,Ministry of Defence,12/11/2013,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,271695,Estate + facilities management services - accommodation inventory + service,"5,318,476.49"
Ministry of Defence,Ministry of Defence,25/11/2013,Grants to Reserves Forces and Cadets Association,Defence Infrastructure Organisation ,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,277580,Grants to reserve forces and cadet associations,"4,985,604.58"
Ministry of Defence,Ministry of Defence,14/11/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,272676,Fiscal asset under construction - capital in year addition,"4,880,477.65"
Ministry of Defence,Ministry of Defence,11/11/2013,Estate management,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,271004,Estate core services charge,"4,473,026.41"
Ministry of Defence,Ministry of Defence,18/11/2013,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,274322,Cost of food purchases,"4,022,336.77"
Ministry of Defence,Ministry of Defence,06/11/2013,Fees for professional services,Head Office & Corporate Services,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,269382,Fees for professional services excluding legal fees,"3,881,855.31"
Ministry of Defence,Ministry of Defence,06/11/2013,Grants to NDPBs,Defence Infrastructure Organisation ,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,269379,Grant in aid to the council of reserve forces and cadet associations,"3,862,668.00"
Ministry of Defence,Ministry of Defence,21/11/2013,Design services and minor equipment purchases,Defence Equipment & Support,AGUSTAWESTLAND LIMITED,BA20 2YB,275366,Equipment support non-project costs,"3,709,266.00"
Ministry of Defence,Ministry of Defence,22/11/2013,Property leases,Defence Infrastructure Organisation ,SEVERN TRENT COSTAIN WATER LIMITED,B37 7YG,276505,Property non dwellings private finance initiative - service concession arrangement service charge,"3,345,285.97"
Ministry of Defence,Ministry of Defence,13/11/2013,Property leases,Defence Infrastructure Organisation ,SEVERN TRENT COSTAIN WATER LIMITED,B37 7YG,272422,Property non dwellings private finance initiative - service concession arrangement service charge,"3,334,624.32"
Ministry of Defence,Ministry of Defence,28/11/2013,IT and communication services,Defence Equipment & Support,MICROSOFT IRELAND OPERATIONS LIMITED,,40527,Information technology services,"3,149,625.86"
