Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description
Defra,Core Defra,10/01/2013,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.71532E+21,"£41,712.28",Barclaycard Bill - January 2013
Defra,Core Defra ,18/01/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00021858,"£31,024.36",Costs associated with London estate rationalisation project
Defra,Core Defra ,24/01/2013,Rents to Landlords,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022666,"£128,654.27","Facilities site maintenance - Animal Health Wildlife Unit, Stroud"
Defra,Core Defra ,28/01/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00021131,"£454,198.57",Bio security design and works
Defra,Core Defra ,30/01/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022655,"£49,507.20",Carry out fire stopping areas as part of London estate rationalisation project
Defra,Core Defra ,30/01/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022650,"£56,281.93",Provision of furniture as part of London estate rationilisation project
Defra,Core Defra ,30/01/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00020272,"£90,150.00",Provision of furniture as part of London estate rationilisation project
Defra,Core Defra ,30/01/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022638,"£156,912.48",Refurbishment costs associated with London estate rationalisation project
Defra,Core Defra ,30/01/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022640,"£54,193.88",Costs associated with London estate rationalisation project
Defra,Core Defra ,30/01/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022651,"£214,152.60",Replacement of lighting as part of London estate rationalisation project
Defra,Core Defra ,30/01/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00021853,"£299,378.90",Remedial works at AHVLA Weybridge site - rechargeable to the Agency
Defra,Core Defra ,30/01/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022644,"£87,387.73",Provision of furniture as part of London estate rationilisation project
Defra,Core Defra ,30/01/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022658,"£51,984.00",Provision of furniture as part of London estate rationilisation project
Defra,Core Defra ,30/01/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00021154,"£92,116.58",Remedial works at AHVLA Weybridge site - rechargeable to the Agency
Defra,Core Defra ,30/01/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00022657,"£90,612.90",Provison of furniture as part of London estate rationaliation project
