Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,21/05/2010,Property leases,Land Forces,ASPIRE DEFENCE LIMITED,637577,16698449.19
Ministry of Defence,Ministry of Defence,19/05/2010,Government Procurement Card,MOD,Barclays Bank PLC,10648,11795443.17
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Defence Estates,DEBUT SERVICES (SOUTH WEST)LIMITED,636283,11492173.46
Ministry of Defence,Ministry of Defence,10/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,631173,10634434.77
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Defence Estates,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,636482,9407098.81
Ministry of Defence,Ministry of Defence,25/05/2010,Miscellaneous Administration Costs,Navy Command,VT FLAGSHIP LTD,640388,7103276.33
Ministry of Defence,Ministry of Defence,17/05/2010,Estate management,Central TLB,MODUS SERVICES LIMITED,635096,6849318.68
Ministry of Defence,Ministry of Defence,19/05/2010,Government Procurement Card,MOD,Barclays Bank PLC,10647,6164129.01
Ministry of Defence,Ministry of Defence,14/05/2010,Estate management,Defence Estates,DEBUT SERVICES (SOUTH WEST)LIMITED,634121,5963579.41
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Defence Estates,LANDMARC SUPPORT SERVICES LIMITED,636450,5759120.44
Ministry of Defence,Ministry of Defence,07/05/2010,Transport hire charges,Defence Equipment & Support,SD MARINE SERVICES LIMITED,630850,5544853.88
Ministry of Defence,Ministry of Defence,26/05/2010,Design services and minor equipment purchases,Central TLB,METEOROLOGICAL OFFICE,640834,5543166.67
Ministry of Defence,Ministry of Defence,11/05/2010,Estate management,Defence Estates,BABCOCK DYNCORP LIMITED,631822,5179176
Ministry of Defence,Ministry of Defence,18/05/2010,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,635717,4992079
Ministry of Defence,Defence Support Group,24/05/2010,Dividends Payable,Corporate,THE ACCOUNTING OFFIC,424845,4500000
Ministry of Defence,Ministry of Defence,21/05/2010,Medical treatment & stores and welfare services.,Central TLB,SERVICES SOUND & VISION CORPORATION,638204,4178491
Ministry of Defence,Ministry of Defence,26/05/2010,Estate management,Defence Estates,CARILLIONENTERPRISE LIMITED,640547,3830985.13
Ministry of Defence,Ministry of Defence,07/05/2010,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,630801,3816924.2
Ministry of Defence,Ministry of Defence,05/05/2010,Estate management,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,629163,3751522
Ministry of Defence,Ministry of Defence,21/05/2010,Property leases,Defence Estates,COAST TO COAST WATER LTD,637701,3396287.38
