Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description
Cabinet Office,Cabinet Office,02/09/2010,Departmental Tax Liability,ERG -  OGC,HM REVENUE & CUSTOMS,87059,"69,288.35",2009-10 PAYE settlement for OGC
Cabinet Office,Cabinet Office,02/09/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,NCVO,3000012033,"363,420.00",2nd Instalment Strategic Grant 2010-2011 
Cabinet Office,Cabinet Office,03/09/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,INNOVATION UNIT LTD,3000012046,"50,000.00",2nd Instalment 2010/2011 Green Next Practice Programme Project Grant
Cabinet Office,Cabinet Office,03/09/2010,GRANT FUND MANAGEMENT SERVICES,ERG - OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000012041,"76,673.00",Community Assets Fund - management fee 2010-11
Cabinet Office,Cabinet Office,03/09/2010,Consultancy,ERG - OFFICE FOR CIVIL SOCIETY,SHEFFIELD HALLAM UNIVERSITY,3000012048,"162,260.90",Futurebuilders evaluation
Cabinet Office,Cabinet Office,06/09/2010,Capital grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000012057,"3,378,421.83",Grassroots Grants payment
Cabinet Office,Cabinet Office,06/09/2010,Resource Grants to Central Government Bodies,ERG - OFFICE FOR CIVIL SOCIETY,ECONOMIC & SOCIAL RESEARCH COUNCIL,3000012058,"87,500.00",Quarterly July-Sept 2010-11 payment for the Centre for Charitable Giving and Philanthropy
Cabinet Office,Cabinet Office,07/09/2010,Grants-in-Aid to NDPB's,ERG - OFFICE FOR CIVIL SOCIETY,CAPACITY BUILDERS UK LTD,3000012071,"200,000.00",Grant-in-aid payment to Capacitybuilders
Cabinet Office,Cabinet Office,07/09/2010,Accomodation and Utilities,PRIME MINISTERS OFFICE,BT,3000012070,"45,216.84",Telecoms line rentals
Cabinet Office,Cabinet Office,07/09/2010,"Travel, Subsistence and Hospitality",PRIME MINISTERS OFFICE,FOREIGN & COMMONWEALTH OFFICE,3000012073,"52,000.00",Charges from international meetings (G8 and G20)
Cabinet Office,Cabinet Office,08/09/2010,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPT,103030,"102,684.00",Treasury Solicitors Legal Advice
Cabinet Office,Cabinet Office,08/09/2010,Supplies and Services,ERG - CIVIL SERVICE CAPABILITY GROUP,TMP UK LTD,3000012107,"35,181.25",Fast stream recruitment marketing
Cabinet Office,Cabinet Office,08/09/2010,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000012096,"230,028.70",Fujitsu (Flex) outsourced IT service
Cabinet Office,Buying Solutions,08/09/2010,SAP Rental,Network Services,GLOBAL CROSSING,PINDOH 30892,"41,912.50",Government Managed Telecoms Contract
Cabinet Office,Cabinet Office,08/09/2010,Consultancy,SCHEME MANAGEMENT EXECUTIVE,PRICEWATERHOUSE COOPERS LLP,3000012103,"1,271,443.49",Professional Services : Pension Policy
Cabinet Office,Cabinet Office,10/09/2010,Consultants - Mgt - Non Advisory,ERG -  OGC,PA CONSULTING SERVICES LTD,87249,"56,965.50",Expert advice for OGC's Centre for e-Auctions
Cabinet Office,Cabinet Office,10/09/2010,Other Staff Related Costs,ERG - CIVIL SERVICE CAPABILITY GROUP,PARITY SOLUTIONS LTD,3000012124,"105,235.79",Faststream recruitment
Cabinet Office,Cabinet Office,10/09/2010,Consultancy,ERG - CIVIL SERVICE CAPABILITY GROUP,QCG LTD,3000012125,"49,805.31",Review of Civil Service Pay Structures and Terms and Conditions
Cabinet Office,Cabinet Office,10/09/2010,Other Staff Related Costs,ERG - OFFICE FOR CIVIL SOCIETY,IMPROVEMENT & DEVELOPMENT AGENCY,3000012122,"500,000.10",National Programme for Third Sector Commissioning
Cabinet Office,Cabinet Office,10/09/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012119,"51,118.61",Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Utilities)
Cabinet Office,Cabinet Office,10/09/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012119,"262,674.38",Facilities Management : 70 Whitehall Refurbishment Project Phrase 2 
Cabinet Office,Cabinet Office,10/09/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012119,"34,473.28",Facilities Management : 70 Whitehall Refurbishment Project Phrase 2 
Cabinet Office,Cabinet Office,10/09/2010,Land and Buildings,ESTATE MANAGEMENT,NB REAL ESTATE,3000012123,"232,752.08",No Description
