Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description
Cabinet Office,Cabinet Office,13/09/2010,Grants -in-Aid to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,BRITISH YOUTH COUNCIL.,3000012130,"31,533.00",2nd Instalment Strategic Grant 2010-2011
Cabinet Office,Cabinet Office,13/09/2010,Grants -in-Aid to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,VOLUNTEERING ENGLAND,3000012178,"551,900.00",2nd Instalment Strategic Grant 2010-2011 
Cabinet Office,Buying Solutions,13/09/2010,GSI COS,Network Services,CESG,PINDOH 30819,"37,959.00",Security costs for government secure intranet
Cabinet Office,Buying Solutions,13/09/2010,GSI COS,Network Services,CESG,PINDOH 30820,"37,959.00",Security costs for government secure intranet
Cabinet Office,Cabinet Office,13/09/2010,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000012141,"211,623.65",Building renovation
Cabinet Office,Cabinet Office,13/09/2010,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,PRIME MINISTER' OFFICE,3000012141,"32,047.27",Building renovation
Cabinet Office,Cabinet Office,13/09/2010,Accomodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000012141,"37,808.14",Facilities management 
Cabinet Office,Cabinet Office,14/09/2010,Other Staff Related Costs,ERG - CIVIL SERVICE CAPABILITY GROUP,PARITY SOLUTIONS LTD,3000012205,"35,186.70",Faststream recruitment
Cabinet Office,Cabinet Office,14/09/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,MENTER,3000012202,"91,984.00",2nd Instalment Strategic Grant 2010-2011 
Cabinet Office,Cabinet Office,14/09/2010,Land and Buildings,ESTATE MANAGEMENT,AIRSCAPE LTD,2000180,"284,786.22",FP004337-Rent
Cabinet Office,Cabinet Office,14/09/2010,"Travel, Subsistence and Hospitality",ESTATE MANAGEMENT,ECOVERT FM LTD,3000012192,"789,269.84",Ecovert Carbon Offsetting (salix)
Cabinet Office,Cabinet Office,14/09/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012192,"81,434.79",Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Profits)
Cabinet Office,Cabinet Office,14/09/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012192,"1,080,917.71",Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Fixed Core Service)
Cabinet Office,Cabinet Office,14/09/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012192,"67,611.40",Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Profits)
Cabinet Office,Cabinet Office,14/09/2010,Land and Buildings,ESTATE MANAGEMENT,KING STURGE LLP,3000012200,"297,275.00",Cabinet Office Estates operating Leases Rent
Cabinet Office,Buying Solutions,14/09/2010,TIF Costs,Network Services,CABINET OFFICE VOTES,PINDOH 29806,"250,000.00",Public Sector Network funding
Cabinet Office,Cabinet Office,15/09/2010,Consultants - Mgt - Non Advisory,ERG -  OGC,ADVALUS LIMITED,87376,"46,544.69",Specialists working on strategic supplier engagement activity supporting Government's key telecommunications reform & efficiency programmes
Cabinet Office,Cabinet Office,15/09/2010,Consultancy,ERG - CIVIL SERVICE CAPABILITY GROUP,ORC INTERNATIONAL LTD,3000012227,"352,500.00",Civil Service  staff survey
Cabinet Office,Cabinet Office,15/09/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,SOCIAL FIRMS UK,3000012231,"41,333.00",2nd Instalment Strategic Grant 2010-2011 
Cabinet Office,Cabinet Office,15/09/2010,Grants -in-Aid to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,V,3000012235,"1,338,000.00",2nd Instalment Strategic Grant 2010-2011 
Cabinet Office,Cabinet Office,15/09/2010,Accomodation and Utilities,IT AND TELECOMS BRANCH,BUYING SOLUTIONS,103034,"599,820.27",IT telecoms Outsourced Service 
Cabinet Office,Cabinet Office,15/09/2010,IT Costs,IT AND TELECOMS BRANCH,NET SQUARE SOLUTIONS LTD,3000012225,"88,125.00",IT Outsourced Service (Networking)
Cabinet Office,Cabinet Office,16/09/2010,"Travel, Subsistence and Hospitality",COMMUNICATION GROUP,COI CENTRAL OFFICE OF INFORMATION,3000012249,"187,346.73",Cabinet outside London event costs - North East and South West events
Cabinet Office,Cabinet Office,16/09/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,WOMENS RESOURCE CENTRE,3000012264,"65,664.00",2nd Instalment Strategic Grant 2010-2011 
Cabinet Office,Cabinet Office,16/09/2010,GRANT FUND MANAGEMENT SERVICES,ERG - OFFICE FOR CIVIL SOCIETY,COI CENTRAL OFFICE OF INFORMATION,3000012249,"55,747.65",Management of the Queens Award for Voluntary Service
Cabinet Office,Cabinet Office,16/09/2010,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000012262,"264,006.58",IT Outsourced Data Services 
Cabinet Office,Buying Solutions,16/09/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PCROHD 787,"-153,949.30",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,16/09/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PCROHD 788,"-26,618.07",Government Managed Telecoms Contract
Cabinet Office,Cabinet Office,17/09/2010,IT support and maintenance recoverable,ERG -  OGC,CORPORATE DOCUMENT SERVICES LIMITED,87473,"148,163.78","Monthly payment for contract for support, maintenance and development of e-PIMS, the government property database  "
Cabinet Office,Cabinet Office,17/09/2010,Residual Estate Rent Expenditure,ERG -  OGC,COLLIER CRE,87484,"45,797.09",Quarterly rent on residual civil estate property
Cabinet Office,Cabinet Office,17/09/2010,Residual Estate Rent Expenditure,ERG -  OGC,PRUDENTIAL PROPERTY INVESTMENT MANAGERS LTD (PRUPIM),87482,"67,856.25",Quarterly rent on residual civil estate property
Cabinet Office,Cabinet Office,17/09/2010,Capital grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000012272,"639,106.97",Grassroots Grants payment
Cabinet Office,Cabinet Office,17/09/2010,Supplies and Services,ESTATE MANAGEMENT,MITIE DOCUMENT SOLUTIONS,3000012278,"36,256.59","Facilities, property and assets management"
Cabinet Office,Cabinet Office,20/09/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,NCVO,3000012298,"76,907.00",2nd Instalment Compact Voice project Grant 2010-11
Cabinet Office,Buying Solutions,20/09/2010,Legal Fees,PSN Services,FIELD FISHER WATERHO,PINDOH 31060,"39,603.45",Legal negotiations for public sector network procurement
Cabinet Office,Cabinet Office,20/09/2010,Consultancy,SCHEME MANAGEMENT EXECUTIVE,PRICEWATERHOUSE COOPERS LLP,3000012300,"1,095,713.49",Performance Fees-Service Pensions
Cabinet Office,Buying Solutions,20/09/2010,WDHS Maint & Rep,WDHS,COFELY,PINDOH 30852,"60,245.07",Whitehall heating systems management
Cabinet Office,Buying Solutions,20/09/2010,WSDS Maint & Rep,WSDS,COFELY,PINDOH 30853,"37,589.81",Whitehall heating systems management
Cabinet Office,Cabinet Office,21/09/2010,Supplies and Services,CENTRAL BUDGETS,THE TREASURY SOLICITOR,3000012327,"34,422.11",Treasury Solicitors Legal advice 
Cabinet Office,Cabinet Office,21/09/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,COMMUNITY ACTION NETWORK,3000012315,"41,237.00",2nd Instalment Strategic Grant 2010-2011
Cabinet Office,Cabinet Office,21/09/2010,Grants -in-Aid to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,MENTORING & BEFRIENDING FOUNDATION,3000012324,"350,200.00",2nd Instalment Strategic Grant 2010-2011 
Cabinet Office,Cabinet Office,21/09/2010,Grants-in-Aid to NDPB's,ERG - OFFICE FOR CIVIL SOCIETY,CAPACITY BUILDERS UK LTD,3000012313,"100,000.00",Grant-in-aid payment to Capacitybuilders
Cabinet Office,Cabinet Office,21/09/2010,Grants-in-Aid to NDPB's,ERG - OFFICE FOR CIVIL SOCIETY,COMMISSION FOR THE COMPACT,3000012314,"150,000.00",Grant-in-aid payment to the Commission for the Compact
Cabinet Office,Cabinet Office,21/09/2010,Capital grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000012316,"109,811.76",Grassroots Grants capital payment
Cabinet Office,Cabinet Office,21/09/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000012316,"2,795,569.32",Grassroots Grants payment
Cabinet Office,Cabinet Office,21/09/2010,Consultancy,ERG - OFFICE FOR CIVIL SOCIETY,IPSOS MORI LTD,3000012323,"198,616.69",National Survey of Charities and Social Enterprise
Cabinet Office,Buying Solutions,21/09/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 18323,"42,772.70",Government Managed Telecoms Contract
Cabinet Office,Cabinet Office,21/09/2010,Consultancy,SCHEME MANAGEMENT EXECUTIVE,HEWITT ASSOCIATES LTD,3000012322,"53,757.71",Professional Services: Pension Policy
Cabinet Office,Cabinet Office,22/09/2010,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPT,103040,"59,692.90",Treasury Solicitors Legal Advice
Cabinet Office,Cabinet Office,22/09/2010,Other Staff Related Costs,ERG - CIVIL SERVICE CAPABILITY GROUP,PARITY SOLUTIONS LTD,3000012339,"87,715.00",Faststream recruitment
Cabinet Office,Cabinet Office,22/09/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,SOCIAL ENTERPRISE COALITION,3000012341,"178,000.00",2nd Instalment Strategic Grant 2010-2011 
Cabinet Office,Cabinet Office,22/09/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,DEVELOPMENT TRUSTS ASSOCIATION,3000012335,"48,541.00",2nd Instalment Strategic Grant 2010-2011 
Cabinet Office,Cabinet Office,23/09/2010,Nat West Corporate Card,ERG -  OGC,NATIONAL WESTMINSTER BANK PLC (4715059005000009),87608,"26,980.21",Monthly settlement of Government Procurement Card transactions
Cabinet Office,Cabinet Office,23/09/2010,Residual Estate Rates Expenditure,ERG -  OGC,CHELMSFORD BOROUGH COUNCIL,87619,"49,887.00",Rates on residual civil estate property
Cabinet Office,Capacity Builders,23/09/2010,Grant,Programmes,Lozells Methodist Church,1722,"58,928.10",CIPB - Capital Investment Programme Strand B
Cabinet Office,Cabinet Office,24/09/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,NAVCA,3000012374,"141,584.00",2nd Instalment Strategic Grant 2010-2011 
Cabinet Office,Cabinet Office,24/09/2010,Capital grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,BRIDGES VENTURES LTD,3000012369,"49,987.65",Risk capital fund for social enterprise
Cabinet Office,Cabinet Office,27/09/2010,Other Staff Related Costs,COMMUNICATION GROUP,COI CENTRAL OFFICE OF INFORMATION,3000012389,"371,301.00",Transfer GCN HR and Prof Dev Function to COI
Cabinet Office,Cabinet Office,27/09/2010,Consultancy - Legal -  Contracted out services,ERG -  OGC,THE TREASURY SOLICITOR,87672,"52,650.39",Cost of internal legal team staffed by Treasury Solicitor personnel
Cabinet Office,Cabinet Office,27/09/2010,Property and Estates Benchmarking,ERG -  OGC,INVESTMENT PROPERTY DATABANK,87670,"53,250.00","Monthly payment for contract for analysis, benchmarking and reporting the performance of central government offices "
Cabinet Office,Cabinet Office,27/09/2010,Grant-in-Aid to Civil Service Welfare Bodies,ERG - CIVIL SERVICE CAPABILITY GROUP,CIVIL SERVICE BENEVOLENT FUND ,1000296,"171,703.00",Grant to CIVIL SERVICE BENEVOLENT FUND
Cabinet Office,Cabinet Office,28/09/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012400,"152,074.50",Facilities Management : 70 Whitehall Refurbishment Project Phrase 2 
Cabinet Office,Cabinet Office,29/09/2010,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPT,103049,"100,949.32",Treasury Solicitors Legal Advice
Cabinet Office,Cabinet Office,29/09/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,MEDIA TRUST,3000012436,"150,000.00",2nd Instalment community channel project grant 2010/2011
Cabinet Office,Cabinet Office,29/09/2010,Grants -in-Aid to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,TIMEBANK,3000012440,"175,100.00",2nd Instalment Strategic Grant 2010-2011 
Cabinet Office,Cabinet Office,29/09/2010,Capital Grants to NDPB's & Other Orgs within Central Govt,ERG - OFFICE FOR CIVIL SOCIETY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3000012427,"2,500,000.00",Community builders programme 1st instalment 2010-2011
Cabinet Office,Cabinet Office,29/09/2010,Grants-in-Aid to NDPB's,ERG - OFFICE FOR CIVIL SOCIETY,CAPACITY BUILDERS UK LTD,3000012423,"6,100,000.00",Grant-in-aid payment to Capacitybuilders
Cabinet Office,Cabinet Office,29/09/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012431,"198,538.58",Facilities Management : 70 Whitehall Refurbishment Project Phrase 2 
Cabinet Office,Buying Solutions,29/09/2010,Rent RLB 3rd Floor,Estates Management,ROYAL LIVER ASSURANC,PINDOH 31095,"115,267.61",Rent
Cabinet Office,Cabinet Office,29/09/2010,Freehold Non Residential Buildings,FINANCIAL MANAGEMENT,ECOVERT FM LTD,3000012431,"31,766.17",Facilities Management : 70 Whitehall Refurbishment Project Phrase 2 
Cabinet Office,Cabinet Office,29/09/2010,Other Staff Related Costs,INDEPENDENT OFFICES,DLA PIPER UK,3000012428,"52,875.00",Compliance Monitoring
Cabinet Office,Cabinet Office,29/09/2010,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000012441,"41,936.93",IT outsurces telecoms service
Cabinet Office,Buying Solutions,29/09/2010,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 18393,"63,952.88",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,29/09/2010,Peripherals,Network Services,GLOBAL CROSSING,PINMTS 18394,"259,411.16",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,29/09/2010,Peripherals,Network Services,GLOBAL CROSSING,PINMTS 18395,"259,892.16",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,29/09/2010,Peripherals,Network Services,GLOBAL CROSSING,PINMTS 18396,"268,390.16",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,29/09/2010,Peripherals,Network Services,GLOBAL CROSSING,PINMTS 18397,"267,242.91",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,29/09/2010,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 18398,"891,889.69",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,29/09/2010,Handsets,Network Services,GLOBAL CROSSING,PINMTS 18398,"38,000.00",Government Managed Telecoms Contract
Cabinet Office,Cabinet Office,29/09/2010,Assets Under Construction,PRIME MINISTERS OFFICE,COMPUTACENTER UK LTD,3000012425,"25,908.58",Upgrade of system software
Cabinet Office,Cabinet Office,30/09/2010,CFERS Received,CENTRAL BUDGETS,HM TREASURY,3000045,"55,265.91",Accountancy requirement (Book transaction): Funds returned to the consolidated funds (HMT) for Resource Accounts 09/10
Cabinet Office,Cabinet Office,30/09/2010,CFERS Receivable,CENTRAL BUDGETS,HM TREASURY,3000045,"461,298.62",Accountancy requirement (Book transaction): Funds returned to the consolidated funds (HMT) for Resource Accounts 09/10
Cabinet Office,Cabinet Office,30/09/2010,CFERS Receivable,CENTRAL BUDGETS,HM TREASURY,3000045,"-195,711.80",Accountancy requirement (Book transaction): Funds returned to the consolidated funds (HMT) for Resource Accounts 09/10
Cabinet Office,Cabinet Office,30/09/2010,CFERS Received,CENTRAL BUDGETS,HM TREASURY,3000045,"68,418.09",Accountancy requirement (Book transaction): Funds returned to the consolidated funds (HMT) for Resource Accounts 09/10
Cabinet Office,Cabinet Office,30/09/2010,IT support and maintenance recoverable,ERG -  OGC,CORPORATE DOCUMENT SERVICES LIMITED,87785,"87,056.75","Monthly payment for contract for support, maintenance and development of e-PIMS, the government property database  "
Cabinet Office,Cabinet Office,30/09/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000012449,"26,429.41",Ecovert Facilities Management KPI Performance Mechanism Charge (Contract Variable)
Cabinet Office,Buying Solutions,30/09/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 18296,"77,404.13",Government Managed Telecoms Contract
