DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,EXPENSE_AREA,SUPPLIER_OBS_TYPE,SUPPLIER,TRANSACTION_NUM, AMOUNT ,DESCRIPTION (NO PO number ),POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29397,77282.04,"Retrospective quarterly accomodation charges for Barton Hall, Preston",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29431,109248.27,"Retrospective quarterly accomodation charges for Whittington Road, Worcester",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29443,26131.54,"Retrospective quarterly accomodation charges for Quantock House, Taunton",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29472,31279.18,"Retrospective quarterly accomodation charges for Southgate street, Bury St Edmunds",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29474,59637.85,"Retrospective quarterly accomodation charges for Government Buildings, Chelmsford",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29555,56300.77,"Retrospective quarterly accomodation charges for Hadrian House, Carlisle",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29559,84088.64,"Retrospective quarterly accomodation charges for Liberty House, Reigate",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29560,29776.83,Retrospective quarterly accomodation charges for Cardiff Llanishen,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29588,103549.48,"Retrospective quarterly accomodation charges for Barnwood park, Gloucester",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29589,58037.74,"Retrospective quarterly accomodation charges for Beacon House, Stafford",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29594,44010.81,Retrospective quarterly accomodation charges for Unit B2 Newcastle,B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29601,103094.72,"Retrospective quarterly accomodation charges for Parc Pensarn, Carmarthen",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29666,45204.17,"Retrospective quarterly accomodation charges for Government Buildings, Chelmsford",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29702,27348.78,"Retrospective quarterly accomodation charges for Sitka House, Shrewsbury",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29721,58868.74,"Retrospective quarterly accomodation charges for Hadrian House, Carlisle",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29725,115385.00,"Retrospective quarterly accomodation charges for Liberty House, Reigate",B4 6HT,,,HARDESTA,Expense,
DEFRA,Animal Health,22/12/2011,Hard charges,Food and Farming Group,Supplier,D T Z,29726,34671.29,Retrospective quarterly accomodation charges for Cardiff Llanishen,B4 6HT,,,HARDESTA,Expense,
