Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,FAC
Ministry of Justice,MoJ HQ,04-Aug-14 ,912200-Other Movements in Year,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),4818,"55,806,000.00 ",Funding Transfer,
Ministry of Justice,MoJ HQ,11-Aug-14 ,912200-Other Movements in Year,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),4842,"24,272,000.00 ",Funding Transfer,
Ministry of Justice,MoJ HQ,26-Aug-14 ,912200-Other Movements in Year,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),4885,"24,064,000.00 ",Funding Transfer,
Ministry of Justice,MoJ HQ,18-Aug-14 ,912200-Other Movements in Year,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),4874,"21,564,000.00 ",Funding Transfer,
Ministry of Justice,MoJ HQ,01-Aug-14 ,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,JUDICIAL APPOINTMENTS COMMISSION (JAC),4810,"1,000,000.00 ",JAC GIA Grant,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,21-Aug-14 ,266000-Judicial Costs,LZ600-Transforming Justice,THOMSON REUTERS T/A SWEET & MAXWELL LTD,1140553,"74,124.00 ",CID - Libraries  - Publications - McGregor on damages (19th ed.),
Ministry of Justice,MoJ HQ,26-Aug-14 ,266000-Judicial Costs,LZ600-Transforming Justice,HAMMICKS LEGAL INFORMATION SERVICES,1140646,"25,190.00 ",CID - Libraries - Publications - At a Glance 2014/15-0809-6,
Ministry of Justice,MoJ HQ,04-Aug-14 ,223000-Other Expenditure,LZ600-Transforming Justice,TNT UK LTD,1139425,"63,428.36 ","Monthly 'storage',  'archieving' and 'activity' costs for paper records stored by TNT on MoJ's behalf at its secure repositories.",
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,25.78 ,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,29-Aug-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1140952,51.56 ,IT peripherals/individual ordered software and equipment,
