EA JAN 2012 - >£25k Payments report ,,,,,,,,,,,
Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
26-Jan-12,Building Management,National Estates Manager,Leeds City Council,945479,130235.19,Rates - Park Square Leeds,LS2 8JR,,,,Administration
24-Jan-12,Building Management,FM Operating Unit - Central and South West,Wyre Forest District Council,946200,34328.75,Rates Hoo Farm. ,DY10 2BL,,,,Administration
26-Jan-12,Building Management,FM Operating Unit - Central and South East,Sevenoaks District Council,946244,44035.45,Rates Leigh,TN13 1HG,,,,Administration
26-Jan-12,Building Management,FM Operating Unit - Central and South West,Bristol City Council,980928,558570.00,Rates for Horizon House 2011-12,BS1 5TR,,,,Administration
06-Jan-12,Building Management,FM Operating Unit - Central and South East,Lawson & Partners Llp,1024091,66000.00,Quarterly rent for Orchard House in advance 25.12.11 - 24.03.2012,W1S 2XF,,,,Administration
03-Jan-12,Building Management,SE Capital WiP,Tyco Fire & Integrated Solutions,1027020,57704.40,Installation of generator protection system at Thames Barrier.,M40 2WL,,30310309,IMTH001345,Administration
05-Jan-12,Building Management,FM Operating Unit - Central and South East,AG Investream Frimley LP,1029063,200018.88,Quarterly rent Swift House 25.12-24.03. ,W1U 2RU,,,,Administration
17-Jan-12,Building Management,SE Kent & South London- Tidal Flood Risk Manager,Port Of London Authority,1031284,85115.00,Thames Barrier Running costs for 2012.,DA12 2BG,,,,Administration
17-Jan-12,Building Management,FM Operating Unit - Central and South West,Jones Lang LaSalle,1033122,567659.70,Rent in advance for Horizon House 29.09.11 - 24.12.11 Service charge 29.09.11 - 24.12.11 ,BS8 9AQ,,30199687,,Administration
17-Jan-12,Building Management,FM Operating Unit - Central and South West,Jones Lang LaSalle,1033273,567659.70,Rent in advance 25.12.11 - 24.03.12 plus service charge,BS8 9AQ,,30199687,,Administration
24-Jan-12,Building Management,FM Operating Unit - Central and South East,DEFRA,1034557,35939.87,Service charge expenditure quarterly in arrears - Eastbury House-  01.10.2011 to 31.12.2011,B3 2ED,,,,Administration
03-Jan-12,Building Repair & Maintenance,FM Operating Unit - Central and South West,Birch Brothers Kidderminster Ltd,1027975,32613.00,Road repairs at Lea Marston depot,DY13 9QB,,30224314,HOFAC00004,Administration
03-Jan-12,Building Repair & Maintenance,NW South-Ops Delivery,Boulting Technology,1028047,29005.43,Regional mechanical and electrical maintenance - North West region,WA5 2PL,,30270233,RENW000941,Administration
