,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,
DEFRA,Cefas,07/09/2012,ICT Maintenance & Support,Corporate,Unit4 Business Software Ltd,20036316," £33,462.67 ",IT System Support and Maintenance Contract,BS20 0PX,large,N/A,74200,Admin,,
DEFRA,Cefas,07/09/2012,Data Collection Services,Monitoring and Programme Management,EGS (International) Ltd,20036175," £57,175.40 ",Marine Conservation Zone Surveys ,GU35 9QE,large,N/A,C5650,Programme,,
DEFRA,Cefas,07/09/2012,Hardware (non capital),Corporate,Kelway UK Ltd,20036225," £38,058.75 ",IT Equipment,EC4M 7QS,large,N/A,74200,Admin,,
DEFRA,Cefas,14/09/2012,Facilities Management,Corporate,DTZ DTL Clients A/C Re Defra,20036513," £112,315.25 ",Facilities Management Recharges to Defra 1-31/12/11 (Pinbush Site),LS1 2ND,large,N/A,50100,Admin,,
DEFRA,Cefas,14/09/2012,Facilities Management,Corporate,DTZ DTL Clients A/C Re Defra,20036487," £48,998.47 ",Facilities Management Recharges to Defra 1-31/8/12 (Weymouth),LS1 2ND,large,N/A,50100,Admin,,
DEFRA,Cefas,14/09/2012,Facilities Management,Corporate,DTZ DTL Clients A/C Re Defra,20036488," £93,208.76 ",Facilities Management Recharges to Defra 1-31/8/12 (Pakefield Rd),LS1 2ND,large,N/A,50100,Admin,,
DEFRA,Cefas,21/09/2012,Lab Services,Aquatic Health & Hygiene,SAMS Research Services Ltd,20036674," £27,280.00 ",Sample analysis,PA37 1QA,large,N/A,C5666,Programme,,
DEFRA,Cefas,21/09/2012,Lab Services,Aquatic Health & Hygiene,SAMS Research Services Ltd,20036622," £33,660.00 ",Sample analysis,PA37 1QA,large,N/A,C5666,Programme,,
DEFRA,Cefas,21/09/2012,Facilities Management,Corporate,DTZ DTL Clients A/C Re Defra,20036943," £48,998.47 ",Facilities Management Recharges to Defra 1-30/9/12 (Weymouth),LS1 2ND,large,N/A,50100,Admin,,
DEFRA,Cefas,21/09/2012,Facilities Management,Corporate,DTZ DTL Clients A/C Re Defra,20036944," £93,208.76 ",Facilities Management Recharges to Defra 1-30/9/12 (Lowestoft),LS1 2ND,large,N/A,50100,Admin,,
