Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number,,
Department of Health,Department of Health,03/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,FOXLANE ASSOCIATES LTD,SME,WD3 5HE,05.11-12,33000,,"As per tender documents issued under ITT 55722: David Lane, Managing Director for Business Services Transformation, Corporate Development Directorate",Admin,,,
Department of Health,Department of Health,01/11/2011,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049605308,68893.57,,DH - Travel Services for Rail Apr 2011 - March 2012,Admin,,,
Department of Health,Department of Health,08/11/2011,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049605343,67000.75,,DH - Travel Services for Rail Apr 2011 - March 2012,Admin,,,
Department of Health,Department of Health,08/11/2011,Conferences & seminars,CDD CORPORATE DEVELOPMENT,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,SK4 2RZ,754674,52856.54,,Expotel Bulk Invoice for Conference bookings for period 01/04/10 to 31/03/11,Admin,,,
Department of Health,Department of Health,08/11/2011,Conferences & seminars,CDD CORPORATE DEVELOPMENT,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,SK4 2RZ,754995,109640.26,,Expotel Bulk Invoice for Conference bookings for period 01/04/10 to 31/03/11,Admin,,,
Department of Health,Department of Health,08/11/2011,Printing,CDD CORPORATE DEVELOPMENT,XEROX BUSINESS SERVICES,LARGE,UB8 1HS,900083098,31313.45,,Xerox Management Fees 2011 - 2012,Admin,,,
Department of Health,Department of Health,18/11/2011,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049605477,73732.61,,DH - Travel Services for Rail Apr 2011 - March 2012,Admin,,,
Department of Health,Department of Health,18/11/2011,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049605490,78732.6,,DH - Travel Services for Rail Apr 2011 - March 2012,Admin,,,
Department of Health,Department of Health,29/11/2011,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049605533,66997.3,,DH - Travel Services for Rail Apr 2011 - March 2012,Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,3192,,Workforce Governance & Financial Management Review [DHX 211 004 004 007],Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,13578,,Review to Support Central Finance Improve Final Accounts Process [DHX 211 005 001],Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,5320.23,,Review of CfH Service Desk [DHX 211 007 003],Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,873,,Review of CfH Expenses [DHX 211 007 001],Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,4107,,Review of CfH Expenses [DHX 211 007 001],Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,7548,,Review of CfH Clinical Safety Management System [DHX 211 007 002],Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,3493.5,,Recommendation Follow up on Final Audit Reviews including preparation for Audit Committees,Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,336,,RDD Stakeholder Management [DHX 211 003 001],Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,229.5,,New GP PCS (Payments Calculation Service),Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,1368,,NHS FPO Governance & Financial Management Review [DHX 211 004 004 004],Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,5259.29,,HIP Governance & Financial Management Review [DHX 211 004 004 001],Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,3637.41,,Grant Thornton September 2011 Expenses,Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,795,,Ex-Gratia Payments (Budget) [DHX 210 005 004],Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,621,,Directorate Mapping Exercise 2011/12 (aka Audit Plan & Assurance Mapping 2011/12) [DHX 211 001 002],Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,2181,,DH Payroll Review Testing [DHX 001 003],Admin,,,
Department of Health,Department of Health,25/11/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6570917,360,,DH Payroll Review - Testing [DHX 211 001 003],Admin,,,
Department of Health,Department of Health,08/11/2011,Other Admin expenditure,CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,2889502,543148.52,,2011-12 Legal Services SLA,Admin,,,
Department of Health,Department of Health,11/11/2011,Training non pay costs,CDD CORPORATE DEVELOPMENT,THE HAY GROUP MANAGEMENT LTD,LARGE,SW1X 7HG,865-1032,32152.8,,The Hay Group Delivery of training for period April to Dec 2011 monthly paid,Admin,,,
Department of Health,Department of Health,18/11/2011,Utilities,CDD CORPORATE DEVELOPMENT,SCOTTISH AND SOUTHERN ENERGY PLC,LARGE,PO9 5YN,191304511/0055,40130.06,,Skipton House - Electricity Charges for 2011 - 2012,Admin,,,
