Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA,02/09/2014,Other Current Payments (Evidence RandD),Policy Delivery DG,A D A S UK Ltd,RIRP078277,"30,597",Screening for costs of disease resistance caused by stomatal dysfunction - April-June 2014,WV9 5AP,,Exempt,SFFS0006,Expense,
DEFRA,DEFRA,08/09/2014,Evidence Non RandD,Policy Delivery DG,A D A S UK Ltd,RIRP078761,"25,224",Supply Harvest Reports to the Crops and Horticulture Policy Delivery - August 2014,WV9 5AP,,16706,0,Expense,
DEFRA,DEFRA,04/09/2014,Other Current Payments (Evidence RandD),Policy Delivery DG,Agri-Food and Biosciences Institute,INV17299,"30,523",Develop and operationalise planktonic indicators for Biological diversity - June 2014,BT9 5PX,,NE5312,0,Expense,
DEFRA,DEFRA,26/09/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Albion Manufacturing,1798,"28,146",Provision of Bovine Tuberculosis Cage-traps - September 2014,NR18 9AU,SME,21326,BCP00001,Expense,
DEFRA,DEFRA,30/09/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048029,"510,485",Providing effective services to minimise risk of exotic disease incursion - July 2014,YO1 7PX,SME,Funding,0,Expense,
DEFRA,DEFRA,30/09/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047989,"912,539",Providing effective services to minimise risk of exotic disease incursion - April-June 2014,YO1 7PX,SME,Funding,0,Expense,
DEFRA,DEFRA,30/09/2014,Evidence Non RandD,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047772,"833,897",Laboratory Surveillance - 2014-15 ,KT15 3NB,SME,IGS,VLAL0001,Expense,
DEFRA,DEFRA,25/09/2014,Other Current Payments (Evidence RandD) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-545597-49926,"61,169","Antigen mining, Differentiation of Infected and Vaccinated Animals assays and other diagnostic approaches - September 2014",KT15 3NB,SME,Exempt,0,Expense,
DEFRA,DEFRA,30/09/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048621,"2,652,999",IT hardware and software depreciation for Animal Health and Veterinary Laboratories Agency - 2014-15,KT15 3NB,SME,IGS,0,Expense,
DEFRA,DEFRA,08/09/2014,Evidence Non RandD,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047770,"58,825",Laboratory Surveillance - 2014-15 ,KT15 3NB,SME,IDS,0,Expense,
DEFRA,DEFRA,08/09/2014,Evidence Non RandD,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047765,"1,108,662",Laboratory Surveillance - 2014-15 ,KT15 3NB,SME,DFP FUNDING,0,Expense,
DEFRA,DEFRA,25/09/2014,Other Current Payments (Evidence RandD) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-545595-49938,"75,180",Development of an oral Bacillus Calmette–Guérin (BCG) vaccine for badgers - research component - 2014-15 - September 2014,KT15 3NB,SME,,0,Expense,
DEFRA,DEFRA,30/09/2014,Evidence Non RandD,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047769,"500,615",Laboratory Surveillance - 2014-15 ,KT15 3NB,SME,Funding DFP,0,Expense,
DEFRA,DEFRA,30/09/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047987,"321,117",Work undertaken by Animal Health Veterinary Laboratory Agency on Animal Identification - 2014-15 April-June 2014 ,KT15 3NB,SME,DFP,0,Expense,
DEFRA,DEFRA,16/09/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048253,"64,717",Quantifying the scale of Trade and Use of Non-Native Species Support Negotiations on Forthcoming EU Invasive Alien Species Strategy,KT15 3NB,SME,DFP,0,Expense,
DEFRA,DEFRA,30/09/2014,Evidence Non RandD,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047766,"681,931",Laboratory Surveillance - 2014-15 ,KT15 3NB,SME,FUNDING DFP,0,Expense,
DEFRA,DEFRA,08/09/2014,Evidence Non RandD,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047771,"123,462",Laboratory Surveillance - 2014-15 ,KT15 3NB,SME,Funding IGS,0,Expense,
DEFRA,DEFRA,30/09/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047993,"702,507",Animal Welfare Inspections - 2014-15,KT15 3NB,SME,DFP,0,Expense,
DEFRA,DEFRA,30/09/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048027,"270,749",Work undertaken by AHVLA (Animal Health and Veterinary Laboratories Agency) through the Agreement on Animal Identification - 2014-15 - July 2014,KT15 3NB,SME,DFP,0,Expense,
DEFRA,DEFRA,16/09/2014,Payover,Central Finance Group,Animal Health and Veterinary Laboratories Agency,70814,"1,773,676",Defra forwarding Animal Health and Veterinary Laboratory Agency portion of VAT refund quarter 1 - 2014-15,YO1 7PX,SME,,0,Liability,
DEFRA,DEFRA,02/09/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047669,"45,875",IT expenditure on the Veterinary Surveillance Strategy 2014 - Phase 1,YO1 7PX,SME,DFP FUNDING,0,Expense,
DEFRA,DEFRA,08/09/2014,Evidence Non RandD,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047773,"344,911",Laboratory Surveillance - 2014-15 ,KT15 3NB,SME,DFP FUNDING,0,Expense,
DEFRA,DEFRA,30/09/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048625,"196,635",Laboratory Surveillance Exotics - 2014-15 - July 2014,YO1 7PX,SME,Funding,0,Expense,
DEFRA,DEFRA,30/09/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000047787,"6,494,540",Recharge for the running costs for Former Veterinary Laboratories Agency estate - April-June 2014 ,YO1 7PX,SME,DFP,0,Expense,
DEFRA,DEFRA,25/09/2014,Other Current Payments (Evidence RandD) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-545596-49925,"104,703",Continued vaccine development: Improving Bacille Calmette-Guerin and developing non-sensitising vaccines for cattle 2014-15,KT15 3NB,SME,SE3266,0,Expense,
