,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,
DEFRA,AHVLA,17/09/2012,Interim Staff,Chief Operating Officer DG,IBM United Kingdom Ltd,5805120961," £50,911.87 ",Animal Health and Veterinary Laboratories Agency Tactical Support Programme and expenses. ,GU1 2LD,,,00000000,Expense,,
DEFRA,AHVLA,13/09/2012,Travel UK,Chief Operating Officer DG,Redfern Travel Ltd,037008," £68,769.93 ","Payment of the Animal Health and Veterinary Laboratories Agency  Redfern invoice for air, rail and hotel bookings for June",BD1 3AZ,SME,,00000000,Expense,,
DEFRA,AHVLA,13/09/2012,Travel UK,Chief Operating Officer DG,Redfern Travel Ltd,038727," £63,803.79 ","Payment of the Animal Health and Veterinary Laboratories Agency  Redfern invoice for air, rail and hotel bookings for July",BD1 3AZ,SME,,00000000,Expense,,
DEFRA,AHVLA,07/09/2012,Travel UK,Chief Operating Officer DG,Redfern Travel Ltd,035596," £50,403.53 ","Payment of the Animal Health and Veterinary Laboratories Agency Redfern invoice for air, rail and hotel bookings for May",BD1 3AZ,SME,,00000000,Expense,,
DEFRA,AHVLA,13/09/2012,Travel UK,Chief Operating Officer DG,Redfern Travel Ltd,040480," £65,446.72 ","Payment of the Animal Health and Veterinary Laboratories Agency  Redfern invoice for air, rail and hotel bookings for August",BD1 3AZ,SME,,00000000,Expense,,
DEFRA,AHVLA,25/09/2012,Hard charges,Chief Operating Officer DG,DEFRA,1000014304," £13,585,940.58 ",Charges from core Defra for IT services provided by IBM 2011,YO1 7PX,,,HARDCIOD,Expense,,
DEFRA,AHVLA,13/09/2012,Fuel & Utilities Recharge,Chief Operating Officer DG,Mouchel Ltd,90111923," £64,135.39 ",Water quality monitoring at various sites,OL1 9LH,SME,,00000000,Asset,,
DEFRA,AHVLA,03/09/2012,Hard charges,Chief Operating Officer DG,D T Z,34926," £41,083.92 ",Service charge for Stafford site Quarter 4 2011-12,B4 6HT,,,HARDESTA,Expense,,
DEFRA,AHVLA,03/09/2012,Hard charges,Chief Operating Officer DG,D T Z,34929," £43,677.03 ",Service charge for Bristol Temple Quay Quarter 4 2011-12,B4 6HT,,,HARDESTA,Expense,,
DEFRA,AHVLA,27/09/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5809120569," £93,102.23 ",SAM Release 7 Support including costs for tools and materials and contractors' expenses,GU1 2LD,,,00000000,Expense,,
DEFRA,AHVLA,07/09/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5808121472," £32,288.14 ",RSR Animal Health and Veterinary Laboratories Agency  Financial Consultancy Support in Weybridge June 2012,GU1 2LD,,,00000000,Expense,,
DEFRA,AHVLA,07/09/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5808121471," £30,945.55 ",RSR Animal Health and Veterinary Laboratories Agency  Financial Consultancy Support in Weybridge; extension to original contract May 2012,GU1 2LD,,,00000000,Expense,,
DEFRA,AHVLA,03/09/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5805120950," £29,370.38 ",RSR Animal Health and Veterinary Laboratories Agency  Financial Consultancy Support in Weybridge support time and materials April 2012,GU1 2LD,,,TAC00252,Expense,,
